pdb,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,pKd
4n1b,8.0424611285,-19.3900648715,-0.31500461539999997,4.0,32.0,4.0,19.0,-0.0718600153,-2.9701063872000004,4.0,-36.4853402639,50.0383,36.0448,40.8581,17.5764,48.3891,220.15599999999998,159.5566,155.3828,0.0,728.0021,5.9586073148417755
3s7m,5.883103243,-13.344559607599999,0.2063234021,3.5,25.0,3.5,11.0,0.042579094500000005,-4.0960208720999995,4.0,-79.062520355,0.0,22.9113,57.7259,15.7809,171.0902,335.0531,66.3309,80.4868,0.0,749.3791,8.0
3nnw,9.4460089133,-6.597603186900001,-0.22623032070000001,6.0,31.0,6.0,16.0,-0.0469580298,-3.7882191285,6.0,-62.6330925148,27.8892,11.043,4.2128,54.0146,147.2235,258.8199,384.8718,75.4113,111.9014,1075.3875,8.045757490560675
4kox,6.316500479299999,-19.973592841,-0.3929085883,7.0,26.0,7.0,5.0,-0.0753440928,-4.539789657,6.0,-107.70879626700001,20.3881,43.2938,6.977,13.8838,219.8688,114.4902,153.8799,197.484,0.0,770.2656,4.772113295386326
4g3f,8.1211866102,-14.162591665,-0.2810807029,3.5,22.0,3.5,10.0,-0.0760555781,-3.4601143817,4.0,-75.45520186520001,0.9967,7.7948,39.6489,11.6463,67.7847,361.3533,119.9237,88.87700000000001,7.7046,705.73,8.356547323513812
2p8n,4.1019401364,-17.0335668787,-0.16500591039999998,0.5,10.0,0.5,0.0,-0.037261292,-3.7144447043,1.0,-62.8515331717,6.1652,0.1089,43.1817,27.2175,74.1387,88.1881,23.8252,68.6868,0.0,331.5121,3.154901959985743
4j1c,6.5613174365999996,-21.6113439828,-0.4847855457,4.0,29.0,4.0,11.0,-0.1316394503,-4.8906839381000005,4.0,-96.11797457530001,10.2067,14.7688,63.0383,9.6816,149.8163,263.6038,58.0845,195.7215,33.2115,798.133,7.309803919971486
4pct,3.4629969974,-10.5765443852,-0.0147064745,1.0,10.0,1.0,3.0,-0.0146111208,-4.3706395281,2.0,-51.495846368900004,18.2177,35.3793,49.1053,15.405999999999999,25.4917,56.4746,108.8261,63.7434,0.0,372.6441,7.154901959985742
1npz,2.5728995475,-15.055403027899999,-0.0791875804,12.0,37.0,10.0,18.0,-0.0217553134,-3.2648593437,8.0,-99.7678281502,4.0676,0.0,19.9793,30.5287,227.1556,222.0775,213.7037,242.3239,0.0,959.8363,7.886056647693162
3fcf,4.581950662200001,-22.356056379800002,-0.39078146729999996,8.0,25.0,8.0,7.0,-0.0883782101,-6.1076832112,8.0,-124.407811022,0.0,41.1442,25.7012,31.6749,185.4711,129.6922,48.4473,215.5836,0.0,677.7145,4.3979400086720375
3rpy,5.2103755546,-13.2948803299,-0.49680011189999995,5.0,20.0,5.0,4.0,-0.10073751660000001,-4.8546182348,6.0,-63.23563988,2.421,21.6091,83.8411,40.1448,199.391,160.9346,119.417,35.3734,0.0,663.132,5.318758762624412
2l6j,3.3199811172,-24.4931748485,-0.7071136995999999,21.5,42.0,17.5,9.0,-0.1695388786,-8.3868346835,14.0,-71.7826247701,70.1095,99.7835,43.5451,40.7776,75.5229,27.9504,256.6568,109.2352,0.0,723.581,6.259637310505756
3rzi,4.0453513829,-11.5148688026,-0.3553392305,3.5,15.0,3.5,7.0,-0.0609090096,-3.7203859733,3.0,-53.680458315100005,35.8282,52.4866,10.0465,33.1335,58.1305,150.7178,95.2391,60.3398,0.0,495.92199999999997,5.327902142064284
2aay,4.656407232099999,-16.5038770752,-0.8507970557,2.5,12.0,2.5,3.0,-0.1810400018,-7.5059865425,2.0,-48.4787672821,0.0,44.9925,77.8113,0.0,0.0,0.0,58.7404,81.7314,0.0,263.2756,2.920818753952376
4u5u,2.3455616569,-6.8627744917,0.0437013342,8.5,23.0,7.5,12.0,-0.0030219788,-0.8459193472,12.0,-29.9449419621,0.0,13.2624,15.7127,47.0607,98.0627,201.0182,42.9864,33.0838,0.0,451.1869,2.886056647693163
3ma3,5.7332365662,-11.9698159751,-0.6277574164999999,2.0,22.0,2.0,10.0,-0.1083511428,-1.5068965258000002,2.0,-24.5862547295,3.2036,30.2552,0.0,0.0583,75.4405,246.4717,175.5637,42.165,0.0,573.158,7.221848749616356
3fk1,2.1074561331,-33.7180805362,-1.3926701281,4.0,10.0,4.0,0.0,-0.2895965218,-9.9736009354,4.0,-98.7674944882,7.3363,144.17,0.0,0.0,0.0,0.0,0.0,102.2453,0.0,253.7516,2.616184634019569
2yq6,4.5449460917,-21.539535311799998,-0.6472535807,54.5,147.0,45.5,53.0,-0.13659050779999998,-11.241907834000001,30.0,-132.570520501,113.214,71.1243,66.1109,55.0381,467.147,311.626,920.5245,180.5615,0.0,2185.3463,7.346787486224656
2r8q,4.8314839602,-6.362365608999999,-0.1466613255,2.0,16.0,2.0,3.0,-0.0246159244,-0.7521059762000001,2.0,-27.1137952554,0.0,0.3014,1.3901,28.3106,123.0309,152.7916,161.5669,110.4314,0.0,577.8229,3.2365720064370627
6bhe,5.845247824099999,-40.4474845412,-0.2055165631,40.5,85.0,34.5,17.0,-0.045769776,-11.1479257603,26.0,-208.481586401,96.2939,56.3566,68.9552,78.0106,512.5417,135.4185,538.557,492.629,0.0,1978.7625,4.621602099051862
4a2a,2.2153305074,-9.3037265231,-0.5286262429999999,50.5,113.0,41.5,40.0,-0.09733412300000001,-7.803299379099999,32.0,-106.393179264,108.9291,114.8744,76.4959,14.5972,224.4262,78.279,592.8102,146.0548,0.0,1356.4668,4.346787486224656
1wug,-0.0169876284,-9.4054102418,-0.22948701629999999,5.5,15.0,5.5,6.0,-0.0378920934,-0.6432120508,10.0,-28.6425717879,17.9841,19.7533,28.3447,0.1799,42.4045,103.0604,108.904,74.4344,0.0,395.0653,5.795880017344076
2esm,6.2171199192,-9.588988119,0.3507109086,2.0,20.0,2.0,7.0,0.0605495995,-1.474534947,2.0,-42.5466669071,15.0213,35.6747,0.0,6.1354,102.8318,207.8809,136.3084,110.7551,0.0,614.6076,6.275724130399211
4f7j,6.592974865,-10.0041214543,-0.27420056670000004,5.5,23.0,5.5,11.0,-0.055671890999999994,-2.4352968235,8.0,-46.4964225383,35.0918,13.1806,26.8068,25.1948,60.3795,187.3957,364.533,158.2019,0.0,870.7841,5.235077015350113
5ei6,7.2978660899,-12.5097966433,-0.054916396299999996,5.0,27.0,5.0,11.0,-0.007929026899999999,-1.2496762526,6.0,-71.3924961089,9.015,7.3379,11.607999999999999,12.1836,89.1574,273.3911,204.1184,232.1011,0.0,838.9125,7.00436480540245
3oka,5.1641803544,-36.1356122319,-0.5728190154999999,7.5,28.0,7.5,0.0,-0.1331651095,-7.401346859099999,10.0,-104.148626515,29.6515,112.2538,72.5444,25.8357,106.0192,37.8672,69.9029,143.2393,0.0,597.314,4.721246399047171
2vgo,5.3878434601,-12.552654464000002,0.1294316454,5.0,29.0,5.0,9.0,0.0230902652,-1.3194898308,6.0,-46.3040207764,20.2986,24.5093,26.4663,4.2211,171.9462,149.33700000000002,230.0235,155.814,0.0,782.6160000000001,6.301029995663981
2g2r,6.2355891974,-10.7037315512,-0.5816869096,9.0,26.0,9.0,15.0,-0.09301386689999999,-0.9551873525,12.0,-14.9221132251,6.7408,24.1129,33.8409,15.3162,87.5033,316.8252,151.5452,67.8933,0.0,703.7778,7.886056647693162
5ehg,3.1731804286000003,-7.4799403126,-0.2548511005,6.5,31.0,6.5,13.0,-0.0543149345,-3.4646033405,8.0,-66.57692154680001,0.0,20.4483,41.71,24.1561,126.0312,112.7579,17.6285,71.2452,9.5527,423.5299,3.43297363384094
3u51,6.9422114587,-27.8761627567,-0.7041944094,11.0,54.0,11.0,21.0,-0.125133394,-4.5481587779,10.0,-104.118150005,37.086,42.8299,27.1787,89.8166,232.2934,283.8364,440.6129,229.7942,0.0,1383.4481,5.508638306165726
5kjk,7.718955364,-4.8424496356999995,0.4628908692,11.0,38.0,11.0,18.0,0.077529893,-2.6509282137,12.0,-96.228313476,3.9598,0.6086,31.6171,16.2239,250.7853,302.9193,198.4804,256.6862,116.431,1177.7116,7.920818753952375
4hej,8.1620713428,-19.190064153199998,0.0334911534,6.0,33.0,6.0,17.0,-0.0062199952,-3.7377990259,8.0,-55.141504381000004,25.8882,6.4564,8.3755,17.633,139.7199,262.8855,182.8391,151.8366,0.0,795.6342,4.619788758288394
1sqi,5.8234338315,-0.1089746093,-0.0021491257000000002,6.0,31.0,6.0,15.0,-0.002713913,-2.3696054590999998,6.0,-52.2481723921,0.0,0.0,13.6201,32.3799,131.437,252.7023,268.8193,124.9317,0.0,823.8903,7.698970004336019
4nhc,2.8803198762999997,-20.3636848277,-0.3719161045,63.5,150.0,51.5,58.0,-0.0790408824,-6.1793891936000005,32.0,-91.41726454719999,23.174,11.2392,78.1047,157.9839,180.8651,291.8549,449.5419,165.0338,0.0,1357.7975,7.337242168318426
4ch8,2.9323169824,-24.486412070700002,-0.39303328159999995,13.5,33.0,11.5,11.0,-0.072982255,-5.017438345,8.0,-75.49319664720001,75.3647,142.1975,0.0,15.2301,91.3478,117.7537,98.5065,102.4406,0.0,642.8409,5.987162775294827
2ovz,6.0221436074,-20.0439418669,-0.4247713939,11.0,40.0,9.0,21.0,-0.094913606,-5.0316313765,8.0,-87.31490632149999,0.0,48.2564,0.0,80.1326,173.19799999999998,408.1211,152.9159,78.6679,0.0,941.2919,7.886056647693162
5itf,6.3858592937,-35.365213015100004,-0.613124291,26.5,98.0,26.5,26.0,-0.1109476974,-9.5368076404,10.0,-168.38236291200002,129.6388,57.8055,84.7007,83.1835,394.6749,78.5527,495.6116,379.9961,12.1668,1716.3306,5.7447274948966935
2fx9,3.2009210204,-14.611120800000002,-0.37842216079999996,55.0,138.0,46.0,52.0,-0.0808746074,-8.5898573806,34.0,-116.916552959,61.8591,4.9375,53.6181,124.5728,317.9202,306.5662,447.4292,212.7839,0.0,1529.6870000000001,7.769551078621726
4jzf,6.9978100007,-21.197017486500002,-0.8095089035999999,10.5,39.0,9.5,18.0,-0.1690547752,-7.4023590753,10.0,-126.252677735,9.1154,39.951,39.2659,63.2763,313.4804,269.8366,229.3135,237.0578,0.0,1201.2969,6.7569619513137065
5f6u,4.1178568694,-0.5540123319,-0.0199802676,7.0,21.0,7.0,13.0,-0.0045109634999999995,-1.1038217661,10.0,-12.1914913229,21.5268,6.9995,19.2285,3.5429,89.5812,192.7744,192.5996,25.9854,0.0,552.2383,2.5228787452803374
2nxd,6.370221286900001,-33.2107328381,-0.8413276998,24.5,59.0,20.5,24.0,-0.17993976679999998,-9.4631359048,18.0,-141.01800747299998,78.6803,54.3179,47.553000000000004,86.4927,282.7234,195.3096,597.9349,163.5828,0.0,1506.5946,5.657577319177793
2kgi,3.4354984573,-36.7378368615,-0.1883382273,40.0,75.0,34.0,17.0,-0.055297811100000004,-10.3438813572,26.0,-135.98149105299998,100.3761,80.4081,27.6501,72.0828,186.0158,92.0044,352.3503,156.0324,0.0,1066.92,6.1249387366083
1ddm,2.9930572893000003,-34.8870362143,-0.6454418604,39.5,90.0,30.5,28.0,-0.1422823902,-1.9287706342,22.0,-79.32985545529999,54.8593,60.8064,160.7292,52.7894,159.8012,233.6509,447.4358,302.0467,0.0,1472.1189,5.769551078621726
4bb2,7.9799971201,8.660536477,-0.050295409299999996,1.0,23.0,1.0,19.0,-0.0088165498,-0.7610178797,1.0,-22.0562936866,2.7108,0.0,9.9486,22.0915,121.2811,85.7846,413.8248,51.4026,0.0,707.044,7.070581074285707
3if7,1.9683864291,-8.0345174318,0.1539742208,19.0,28.0,19.0,12.0,0.0587378792,-0.0,22.0,-50.6072965829,21.2111,45.919,25.6858,0.36700000000000005,54.9132,42.1565,346.6233,287.5872,0.0,824.4631,7.214670164989233
4a0j,2.2989483674,-27.3313557243,-0.7155781742,23.0,47.0,20.0,9.0,-0.1165588959,-4.4104973747,14.0,-86.7891406895,109.0345,101.4571,0.0,21.9437,110.0055,24.936,221.0041,111.7536,0.0,700.1345,6.0
1lvc,4.7909586377,-66.2451420151,-2.4097053574,11.5,39.0,11.5,6.0,-0.5136483772,-5.6274232988,14.0,-151.598578718,92.5196,218.3461,66.9253,45.0104,158.0081,213.7655,155.6741,251.8562,0.0,1202.1053,6.0
4pov,5.943154069299999,-13.1819302048,-0.2852909355,4.0,17.0,4.0,6.0,-0.0697622339,-2.9361531351,8.0,-79.0299974084,2.3536,16.1635,61.1418,11.0735,96.4978,172.4863,175.3471,64.4784,0.0,599.5419999999999,8.283162276700475
3s7a,7.5397050778,-22.7875318723,-0.0541462318,8.0,35.0,8.0,13.0,-0.006381363,-4.0126083893,10.0,-63.814084763800004,46.4763,47.9768,42.263999999999996,41.1546,119.12299999999999,255.5252,240.80200000000002,189.1703,0.0,982.4922,8.958607314841776
2zb0,7.559685345399999,-2.9373780633999997,-0.08525354269999999,4.0,30.0,4.0,19.0,-0.0162541384,-2.6082684353,4.0,-39.2426025229,8.5775,8.9686,8.8701,18.0641,135.0407,259.7966,343.1749,68.0214,0.0,850.5139,6.619788758288393
3cii,6.976157375900001,-41.090300507399995,-0.6829011947,32.0,73.0,26.0,25.0,-0.1541869329,-9.0645501039,20.0,-140.00543186299998,132.763,108.6923,100.3984,133.9006,204.6074,362.1733,774.6121,358.41,0.0,2175.5571,6.096910013008057
4inb,7.985168224600001,-16.5659083245,-0.0593246712,6.0,30.0,6.0,13.0,-0.0122566179,-1.3690664199,8.0,-59.577101783500005,7.6089,0.0341,0.0,16.225,34.6325,250.7124,222.3325,332.6453,35.0931,899.2838,6.0506099933550885
3msk,4.0072905868,-4.0706934624,0.45696427,5.0,24.0,5.0,11.0,0.07956899519999999,-2.7486510863999998,5.0,-46.8860084169,0.0,13.0967,47.1814,0.8039,149.9078,135.5203,193.3316,71.7906,62.073,673.7053,4.585026652029182
1h36,6.7000570701,-4.5365476312,0.5703838286999999,8.0,25.0,8.0,15.0,0.1063927245,-0.6470775431,12.0,-26.9547819583,7.2416,7.8537,47.2324,4.4944,121.9558,427.7909,342.8597,189.6602,34.0434,1183.1321,7.744727494896693
4awf,1.4490975138,-6.8346084757000005,-0.1727075554,4.0,14.0,4.0,7.0,-0.041867609199999996,-3.7436742807999996,6.0,-52.9348437254,42.2783,33.2453,0.2271,0.0,105.6998,73.2852,18.4924,53.8576,0.0,327.0857,5.568636235841013
1tkz,7.6904446077,3.7536497448,-0.1290355608,4.0,22.0,4.0,14.0,-0.0221440631,-0.9238746644,4.0,-19.7623403861,0.7021,1.4941,7.2842,24.090999999999998,40.3111,191.9798,434.9152,35.1322,63.8868,799.7965,6.619788758288393
3drs,2.7184312983999996,-17.334796551900002,-0.17109387739999998,6.5,28.0,6.5,12.0,-0.0297576893,-1.0833720649,8.0,-59.1848606711,0.0,0.0,43.4472,24.2579,88.0628,368.1054,205.0441,94.9693,115.9632,939.8499,9.30102999566398
2asu,1.5225125279,-13.7942623266,-0.19261447399999998,13.5,27.0,12.5,3.0,-0.0346280629,-5.5710839319000005,14.0,-90.7809473024,108.1691,16.3644,67.8875,28.4592,198.3925,61.6135,73.1692,149.05700000000002,0.0,703.1124,9.0
2pjb,6.006476261,-27.7724105962,-0.8306627552,17.5,44.0,14.5,23.0,-0.1861450922,-10.1462058022,14.0,-93.92502284780001,98.9285,90.6514,36.2918,24.1554,147.7984,296.7823,225.4796,124.762,0.0,1044.8494,7.721246399047171
4rn6,5.522966987899999,-17.941070046300002,-0.3765811009,9.0,35.0,8.0,13.0,-0.0684492868,-2.1630913496,8.0,-64.9206277778,90.8735,24.8666,26.2093,25.177,126.4751,168.1048,360.3115,167.02900000000002,0.0,989.0468,5.096910013008057
2jbo,7.6990484454,-14.7068632497,-0.1482896733,2.0,26.0,2.0,13.0,-0.0321928761,-2.1573774625,2.0,-57.8948204638,8.385,4.905,11.3309,50.2758,119.9244,253.6456,157.8802,133.6962,0.0,740.0431,8.070581074285707
2l65,2.1284339471,-23.1955650244,-0.1812380441,23.5,84.0,23.5,21.0,-0.0302417927,-1.3272281503,18.0,-54.5401672743,31.0705,0.0,24.9981,44.0275,123.4586,95.8655,181.8411,271.9193,13.0423,786.2229,4.221848749616356
3k3h,5.7081438733,-8.563715797,-0.1194781861,4.0,24.0,4.0,13.0,-0.021359228799999998,-0.9045545378000001,6.0,-19.299222135,4.5973,0.9379,19.7484,48.3501,158.1263,230.9275,240.1821,52.9145,68.2063,823.9904,7.055517327849832
3c9e,1.9790953831,-24.1756323577,-0.6543684337,12.5,25.0,11.5,7.0,-0.13211621880000002,-8.9640179645,10.0,-126.644273376,95.3205,48.1642,55.0808,27.8489,174.0356,33.3593,253.6178,163.0439,0.0,850.471,8.0
2oph,6.317233969299999,-9.0549267151,0.2413255449,4.5,23.0,4.5,10.0,0.0344080159,-4.2336529357,4.0,-67.309736736,47.9712,21.1569,40.6349,7.6599,132.8585,69.5281,225.6683,184.8693,0.0,730.3471,7.795880017344076
5fap,-2.2552470332,-28.4037547788,-0.5653520873,7.0,24.0,7.0,3.0,-0.0710385065,-5.7674978841,6.0,-113.81200519,15.075,60.1918,46.3857,59.2862,74.45,16.6114,69.7958,178.7128,0.0,520.5087,8.0
4f9v,3.5372628599000002,-12.8919889427,0.0212125308,9.0,22.0,9.0,4.0,0.0020684418,-1.3248736474,12.0,-77.82416185310001,0.0,21.843000000000004,0.0,14.7094,176.551,243.8286,62.7384,183.2684,0.0,702.9388,6.025028005701932
5cf5,7.3272790388999995,-18.8111505541,-0.0296916752,6.0,32.0,6.0,9.0,-0.0086845216,-2.4968292996,4.0,-84.6301642188,0.3101,2.8962,22.5337,17.9979,202.6458,131.4974,418.9983,173.1441,0.0,970.0235,8.602059991327963
1g7p,6.5389239869,-50.6833008167,-1.1303447645,36.0,75.0,29.0,10.0,-0.2437313921,-21.5122934932,22.0,-229.01971715599998,280.2126,160.5933,132.3542,101.4177,411.023,176.6928,402.8067,342.934,0.0,2008.0343,7.045757490560675
4fil,9.1703487015,-5.1281439907,-0.0949942899,5.5,40.0,5.5,14.0,-0.0222394168,-3.5151921458,6.0,-74.5516155342,56.3026,3.7442,46.0002,42.0327,131.5407,157.3815,364.8948,207.9142,0.0,1009.8109,7.468521082957745
3pd3,7.3659046223,-29.660237818600002,-0.44855847460000003,7.5,26.0,7.5,1.0,-0.0858109951,-8.6660889963,8.0,-131.66966275299998,39.795,0.0,106.7893,3.9421,67.7965,41.5911,48.4765,175.6697,0.0,484.0602,4.441291429466834
4yv8,-2.7969000586000003,-26.223162357800003,-0.9893093073,17.5,36.0,14.5,7.0,-0.2575650135,-7.7033173572,14.0,-113.58034704299999,75.7451,69.6706,27.4495,30.5251,194.9878,19.4514,239.3689,115.3951,0.0,772.5935,7.9586073148417755
5l3e,4.5903124482,-16.1632223145,0.8356284825,11.0,35.0,11.0,12.0,0.1512823125,-0.1179818665,10.0,-27.038011068600003,14.039000000000001,42.4448,2.3053,31.6051,72.5641,250.9733,190.0672,247.0589,0.0,851.0577,6.180456064458133
4ehv,6.5686523366,-9.4786932277,0.1376614032,1.0,23.0,1.0,12.0,0.021153851600000002,-0.5324037165,1.0,-38.006591189,4.9127,13.9267,13.6906,1.3832,131.1276,224.75900000000001,163.4619,135.1588,65.6662,754.0867,2.2921744316677684
1ong,-2.8299657877999995,-16.743141513199998,-0.4094194482,3.0,21.0,3.0,1.0,-0.0414495199,-2.9499134075,2.0,-102.06167876200001,1.4666,27.5916,17.2483,29.4801,162.3317,56.47,32.229,206.3394,0.0,533.1567,8.045757490560675
5m4c,5.7533268573,-8.2216454006,-0.44851446520000005,5.0,22.0,5.0,10.0,-0.0821875545,-1.9678876559,8.0,-47.60324427850001,2.7637,46.8632,0.0,9.272,168.7538,155.0416,201.8409,139.4062,0.0,723.9414,7.397940008672037
5f4u,5.4830724667999995,-28.051965639899997,-0.25214452239999996,7.0,34.0,7.0,13.0,-0.0459458136,-3.8168912526,6.0,-88.4114445319,87.0098,2.0772,5.3749,21.6358,72.947,255.9849,158.2913,133.1407,34.7122,771.1738,7.022276394711152
3zsw,5.4809233411000005,-22.564631596199998,-0.6033835438,13.0,37.0,12.0,17.0,-0.1468667027,-4.2148975964,10.0,-83.1952377318,3.7342,75.5283,22.8047,27.6376,136.4236,142.5722,359.7287,177.8047,0.0,946.2339999999999,2.6989700043360187
5djp,6.9668567227,-4.8431537861,-0.2232450164,2.0,22.0,2.0,16.0,-0.035280869,-0.7857218229,2.0,-11.0269145801,30.4471,34.3707,4.5848,26.5148,30.9311,339.8965,82.3505,30.7773,0.0,579.8728,5.1487416512809245
5ut0,5.6483571034,-10.542774505599999,-0.082370927,5.0,28.0,5.0,6.0,-0.0164081713,-2.1021896749,6.0,-82.2083929509,1.0863,0.0,2.7193,51.0835,244.0631,169.1008,193.261,191.3279,0.0,852.6419,5.878440155812499
2xas,10.1128173374,-102.84628568,-1.7939184977,28.0,85.0,27.0,26.0,-0.3555079332,-13.1364244852,28.0,-272.16613683099996,39.5991,158.7067,218.5938,77.8779,240.6533,451.9357,498.735,502.7512,0.0,2188.8527,5.886056647693162
