,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta_rf,pKd,set,nro_protein,protein
0,8.559828300000001,-15.3849160755,-0.1440794407,7.0,35.0,7.0,18.0,-0.0272418186,-1.8775950369,8.0,-49.1810619524,9.6814,8.7882,8.3473,19.2578,93.9235,310.7932,372.6742,231.7567,0.0,1055.2223,8.47,8.36,set1,18,3d83
0,5.9749655306,-29.096440730100003,-1.1651635348,7.0,27.0,7.0,11.0,-0.21513995190000001,-4.4407831768,6.0,-58.5296633937,35.0698,90.8548,9.5825,24.302,43.9054,152.2379,197.4463,131.2163,48.5875,733.2025,6.68,6.68,set1,19,2qbs
0,6.232904624,-28.4472213962,-0.6298405281,13.0,42.0,13.0,25.0,-0.165548693,-7.2842085061,14.0,-61.914477692,55.3909,70.8445,77.9434,15.1809,32.1141,218.2969,320.8644,147.2821,50.2476,988.1648,7.3,7.84,set1,20,3cd7
0,3.7022100911,-10.0323754891,-0.1678005073,2.5,13.0,2.5,1.0,-0.0400192144,-3.1576671150999998,4.0,-42.8962629109,0.0,15.1174,27.7484,32.6728,89.9624,90.3754,110.9765,30.0268,0.0,396.8797,4.45,4.68,set1,21,2uy4
0,5.5709152292,-29.3943990379,-0.6761384169,14.5,38.0,13.5,18.0,-0.1727882393,-7.3966965325,14.0,-53.459413768699996,65.8725,77.6217,80.2062,14.77,33.1973,176.8035,298.8616,166.2713,33.7013,947.3054,6.65,7.29,set1,22,3ccz
0,5.2744239014,-32.6338796276,-1.1766279835,6.5,24.0,6.5,2.0,-0.2349515168,-6.2703052791,10.0,-88.0013796125,21.4283,100.2109,37.6751,68.6477,109.279,99.4673,82.3913,100.60600000000001,0.0,619.7056,5.01,4.92,set1,23,2hr6
0,7.2924896082,-13.4620427009,0.020655078400000002,5.0,34.0,5.0,13.0,0.000953537,-0.3088359645,6.0,-43.8160447011,0.0,9.99999999998e-05,0.0,34.9863,23.2535,359.3399,300.3307,229.1647,0.0,947.0752,7.39,7.68,set1,24,3f8c
0,5.4762730145,-30.860359486799997,-1.2268500437999998,8.0,28.0,8.0,12.0,-0.21912280260000003,-4.3997224066000005,8.0,-57.033380468199994,31.0886,94.3042,11.272,31.0424,38.6809,260.7418,101.9068,124.9718,49.6306,743.6391,6.22,6.33,set1,25,2qbr
0,6.3697151788,-19.2777748874,-0.37525348399999997,15.5,40.0,12.5,18.0,-0.10381817460000001,-5.1241538051,12.0,-94.2496215124,26.0975,33.6924,25.0285,39.2353,196.083,232.8483,516.285,115.9014,0.0,1185.1714,9.22,10.85,set1,26,2qi5
0,7.8208517948,-17.2031057573,-0.29613191769999997,8.0,36.0,8.0,25.0,-0.0563980461,-2.1416294322,10.0,-19.727653644,87.5923,51.6944,44.1403,16.4117,44.0838,525.8665,208.3173,96.6134,0.0,1074.7197,8.3,8.7,set1,27,2nnq
0,6.8802315537,-20.069503993399998,-0.4657588151,13.0,39.0,11.0,19.0,-0.11793785710000002,-4.541051259800001,10.0,-79.3480533422,22.0857,38.585,54.9242,29.2864,159.7556,342.591,367.9832,107.8629,0.0,1123.0739999999998,9.25,10.44,set1,28,2qi4
0,2.7492305435000004,-13.6324691024,-0.41425314729999996,4.0,13.0,4.0,0.0,-0.0934612958,-4.305879696,4.0,-51.056295151499995,30.9003,8.3184,51.2048,17.8427,6.5875,38.4049,2.3533,116.2643,0.0,271.8762,3.12,3.02,set1,29,2vmd
0,5.6492592961,-28.882430352800004,-1.2110946786,8.0,35.0,8.0,17.0,-0.2146778532,-4.4422208172,8.0,-58.764952315900004,26.6567,92.0837,6.5322,27.338,51.2837,180.0126,192.9916,122.7506,43.6877,743.3368,7.01,7.89,set1,30,2zn7
0,5.8655288226,-19.5881145064,-0.5864839342,3.5,19.0,3.5,10.0,-0.1413141834,-5.9368827298,4.0,-70.9546979326,38.15,14.5959,79.4917,26.6674,86.7353,183.65900000000002,45.2291,129.1231,0.0,603.6515,6.27,5.42,set1,31,1gja
0,6.2088828265,-45.3318604653,-1.4032690586,5.5,22.0,5.5,1.0,-0.3182173016,-11.8067758179,6.0,-102.95442411100001,38.606,117.9322,99.9605,79.6384,57.6198,79.2403,91.8531,104.0138,0.0,668.8641,6.22,5.68,set1,32,2q8z
0,4.6178476628,-24.9012153355,-1.1233105954,4.5,10.0,4.5,2.0,-0.229142276,-8.4249321541,6.0,-70.1143164349,38.9479,92.0693,0.0,0.0,0.0,0.0,56.5829,62.2121,0.0,249.8122,6.39,6.77,set1,33,3fas
0,5.4991432327,-37.1828305747,-1.3058395819,7.5,21.0,7.5,2.0,-0.2859437416,-8.789931447899999,8.0,-81.3919819064,31.86,89.4411,99.2647,48.1767,28.5502,16.4586,165.6446,127.8767,0.0,607.2726,6.58,7.55,set1,34,3b50
0,5.3329637383,-39.672002238699996,-0.7941496229999999,7.0,27.0,7.0,0.0,-0.1699422981,-5.416889664099999,10.0,-128.531095718,29.9429,77.5707,97.095,17.4164,72.8342,42.521,78.1165,203.0534,0.0,618.5501,5.19,4.74,set1,35,2e2p
0,7.2123925002,-12.8791895422,-0.5040176535,4.0,36.0,4.0,20.0,-0.10671546009999999,-3.9145554461,4.0,-66.6152830738,53.4952,30.9886,31.7435,99.7347,102.029,59.8132,448.9439,168.3304,0.0,995.0785,7.39,8.52,set1,36,2vw5
0,2.7695702212,-8.8084740751,-0.0056992173,2.5,8.0,2.5,1.0,0.0033373795000000003,-2.4886362162999998,3.0,-31.1837625627,44.01,7.8273,17.0897,17.5332,20.9676,114.2893,83.1332,46.8001,0.0,351.6504,4.37,8.15,set1,37,3bu1
0,5.749534714,-25.3261701019,-1.1246528821,1.5,11.0,1.5,1.0,-0.2228122573,-7.2031945356,2.0,-69.3488462709,25.3423,44.4331,23.1042,0.0,0.0,0.0,66.8694,107.8877,0.0,267.6367,6.71,6.3,set1,38,2q89
0,6.3321238163,-17.518931881500002,-0.7907168898,5.0,16.0,5.0,4.0,-0.1869079218,-5.5353409641999995,5.0,-53.5008926282,9.99999999998e-05,51.5725,26.4817,35.9794,62.8665,68.182,152.6041,142.5998,0.0,540.2861,10.44,13.0,set1,39,2c1q
0,3.3100056531999997,-13.122781571199999,0.4995653692,2.5,7.0,2.5,0.0,0.0760042338,-2.1580302686,4.0,-44.3189621196,0.0,0.0,23.1352,0.0,0.0,0.0,0.0,209.5875,0.0,232.7227,4.94,5.57,set1,40,2reg
0,7.5277271861,-67.3253087287,-1.9381666411000003,14.0,42.0,14.0,3.0,-0.4218007594,-13.925014254,12.0,-179.741343085,24.7556,93.7939,204.4358,60.4545,83.5609,112.2512,137.2864,251.3717,24.1228,992.0328,4.65,4.16,set1,41,2ihk
0,3.3821737343000002,-21.794173700199998,-0.49516442920000003,8.0,23.0,8.0,0.0,-0.1367152011,-7.7738570905,6.0,-78.1182693384,34.5354,22.7293,94.3143,11.5927,23.9766,55.516000000000005,17.5362,129.5225,0.0,389.723,3.45,3.34,set1,42,1w6o
0,7.0694866435,-8.7095042694,-0.0348481099,1.5,21.0,1.5,11.0,-0.010466902299999999,-1.3751250472999998,2.0,-32.3186402954,0.0,10.8533,37.5017,9.3504,71.0089,246.2635,153.0457,144.44299999999998,0.0,672.4665,6.96,6.24,set1,43,3ene
0,5.7923925347,-8.918578259,0.3111978023,5.0,22.0,5.0,10.0,0.0497819663,-1.080064025,6.0,-38.7745258794,0.0,0.0,32.6437,13.8627,91.4976,209.4546,166.47799999999998,184.0917,0.0,698.0283,6.2,5.74,set1,44,2pgz
0,3.1099022463,-31.0866411518,-1.4760239317,3.0,9.0,3.0,0.0,-0.321121922,-6.7935036961,4.0,-78.2124861289,9.2788,136.9303,8.4612,45.8513,12.6806,0.0116,16.1152,102.8436,0.0,332.1726,4.13,3.41,set1,45,2v2c
0,3.7635811994,-20.1016968695,-0.9560968801,2.5,12.0,2.5,1.0,-0.24278519,-6.7627851349,2.0,-66.56591186189999,0.0,40.5336,89.1341,16.5974,11.3705,0.2382,39.3535,102.03399999999999,0.0,299.2613,4.17,6.72,set1,46,2jdu
0,2.7234410351,-16.058883362,-0.5955865451,1.5,5.0,1.5,0.0,-0.1006788374,-5.4467427071,2.0,-49.82304174,45.6216,58.2501,5.6849,5.7954,3.9474,10.1164,2.3439,86.2309,0.0,217.9906,6.07,7.79,set1,47,2rca
0,5.0259028196,-23.7904107446,-0.2804425666,6.5,22.0,6.5,5.0,-0.066967637,-5.9000175224,8.0,-67.0992324409,23.6556,49.7874,66.6384,28.7904,18.2911,201.7793,96.6512,233.9345,0.0,719.5279,5.49,5.0,set1,48,2oym
0,6.387803042200001,0.4470034758,-0.1919176585,3.0,17.0,3.0,13.0,-0.055495853399999996,-2.4711718194,4.0,-18.926169120999997,5.7285,8.0223,63.2387,0.8726,22.4251,304.0832,200.8977,13.1365,0.0,618.4046,6.86,6.53,set1,49,2p7g
0,7.3664254002,-25.075169823899998,-0.1527346227,5.0,34.0,5.0,13.0,-0.022811539,-1.7765641243,4.0,-89.8405984526,9.435,4.4889,16.2494,58.8398,114.1308,291.2682,150.9696,206.4904,0.0,851.8721,8.83,10.1,set1,50,2p16
0,6.656913188300001,-45.4670866817,-1.1641439837,12.0,31.0,12.0,3.0,-0.2679145574,-11.7838762601,12.0,-147.505653174,45.321000000000005,96.257,120.4678,90.8474,117.3933,126.711,301.0682,208.2035,0.0,1106.2692,5.81,5.68,set1,51,2c92
0,4.6540160547000005,-16.2335199961,-0.2918483361,2.5,16.0,2.5,5.0,-0.07105317629999999,-2.1178570213,2.0,-46.3593185875,18.904,8.8253,74.2171,10.9395,39.1988,203.4423,106.499,52.6035,0.0,514.6295,6.07,6.7,set1,52,3eko
0,5.0140349514,-27.3323826103,-1.0873182411,23.0,48.0,19.0,21.0,-0.2432692934,-8.5303786765,18.0,-106.732799804,1.6571,48.9765,82.8687,42.8331,109.3302,69.4478,576.5125,149.7564,0.0,1081.3823,6.78,7.22,set1,53,2h6t
0,4.0498256719,-43.2856360774,-0.45923075409999997,9.5,32.0,9.5,0.0,-0.1337592364,-7.0993690261,14.0,-111.91414382399999,98.1482,158.834,91.5743,29.2553,56.1822,54.4264,53.9318,120.6787,0.0,663.0309,4.97,5.4,set1,54,2ilz
0,5.8067616038,-22.396310311,-0.30293870489999997,13.5,33.0,11.5,14.0,-0.09504563419999999,-4.8435792103,10.0,-73.6559435603,23.9703,34.5637,26.7198,41.8241,156.1499,218.5636,364.2479,165.2356,0.0,1031.2749,7.48,7.24,set1,55,2psv
0,6.8609701063,-22.065242264600002,-0.23392463079999998,4.0,27.0,4.0,14.0,-0.061635164699999995,-4.3876198216,6.0,-79.4066371885,24.3118,3.9738,16.8736,83.1958,102.5336,328.8664,76.8756,129.9628,0.0,766.5934,6.59,6.1,set1,56,2flr
0,4.3993483267,-35.5698053808,-0.6135423803,5.0,21.0,5.0,1.0,-0.1456417744,-5.6994666866,6.0,-111.96979371,0.6354,69.2661,27.453000000000003,35.1924,82.699,91.4011,60.0749,133.5938,0.0,500.3157,5.11,4.85,set1,57,2j4k
0,3.0229836813,-43.578650662600005,-3.4689896107,6.0,14.0,5.0,3.0,-0.7625948831999999,-5.8383090087000005,6.0,-81.7548834188,18.6918,206.5416,14.5594,26.9773,17.5911,25.9294,68.0861,86.8698,0.0,465.2465,7.22,9.7,set1,58,2jbj
0,3.7458160716,-21.609928347100002,-0.3483857453,2.0,13.0,2.0,1.0,-0.0930725461,-7.3388975205,2.0,-65.4230684278,76.7659,92.27,126.1463,46.5865,34.8643,144.3468,157.082,187.8795,0.0,865.9413,4.53,4.82,set1,59,2pwg
0,7.462952684199999,-36.9059234299,-0.41918220009999996,3.0,19.0,3.0,1.0,-0.1251040544,-6.9957782334,2.0,-105.482360721,0.0,6.7044,96.6828,31.9977,87.3398,170.8874,30.1857,110.4243,33.0693,567.2914,7.31,6.66,set1,60,2v7v
0,7.5517123091,-46.2285519903,-0.9642899634000001,9.0,27.0,9.0,1.0,-0.22766796109999998,-9.8298882397,12.0,-127.05306935799999,41.6078,77.8251,124.7471,40.5759,99.1176,149.20600000000002,210.8236,275.373,0.0,1019.2761,6.33,5.9,set1,61,2v7u
0,3.3761297767,-22.5186124336,-0.622292916,2.0,12.0,2.0,6.0,-0.0882241772,-4.1628931554,2.0,-45.9785639285,27.9157,75.8973,15.8318,7.1919,7.1833,118.1487,25.5691,83.8279,0.0,361.5657,3.22,3.11,set1,62,3c2r
0,4.8676450172,-12.3902744478,-0.4260623363,3.0,11.0,3.0,8.0,-0.0932045743,-3.8835654936000004,3.0,-21.4870394325,7.2293,61.1114,29.8424,18.1608,32.6163,193.4845,146.007,62.7804,0.0,551.2321,3.62,3.22,set1,63,1tog
0,4.3954828344,-19.2887185582,-0.9178307068000001,7.0,15.0,7.0,4.0,-0.18225026030000002,-3.8446905236,8.0,-48.681657951000005,11.6236,53.9171,43.3011,21.3759,30.6453,0.0,215.208,140.4167,0.0,516.4877,5.18,5.57,set1,64,3bex
0,5.5651499978,-40.1531863485,-1.6424601475999998,6.5,22.0,6.5,4.0,-0.3106183452,-4.9028158627,8.0,-100.271229672,0.0,101.2914,81.0252,18.643,80.1913,161.58700000000002,193.9898,118.6325,0.0,755.3602,6.91,8.64,set1,65,2qry
0,4.4300228785,-23.779320375799998,-1.0312502655,11.0,28.0,10.0,13.0,-0.1946902507,-3.7722510512,12.0,-52.219243546499996,28.3539,82.8427,29.8772,9.3571,46.0702,133.6809,243.8292,129.4022,0.0,703.4134,3.94,3.62,set1,66,2jff
0,2.1972719836000003,-5.0018956919,-0.1247373094,0.0,4.0,0.0,1.0,-0.0240364673,-1.5240235172999999,0.0,-18.1874346675,1.4553,0.0,0.2622,42.4198,36.8058,21.9346,71.7729,44.535,0.0,219.1856,0.37,-0.15,set1,67,2r3d
0,7.4236669598,-46.3077762452,-0.9783509667,9.0,26.0,9.0,1.0,-0.2305945862,-10.052143044600001,12.0,-125.146692174,40.6789,79.9571,124.5239,38.0768,113.8708,156.0505,92.3694,240.2458,0.0,885.7732,6.89,7.48,set1,68,2v7t
0,4.9438839678,-45.930791724799995,-0.522905021,9.5,33.0,9.5,0.0,-0.11213595119999999,-6.2859212812,14.0,-86.9828627334,46.1445,106.4639,72.9753,23.5357,46.1634,98.85700000000001,21.6824,217.5586,0.0,633.3808,5.5,5.61,set1,69,2jgb
0,8.6730718211,-59.8214199676,-0.5155041068999999,4.0,46.0,4.0,0.0,-0.0822755733,-8.9709714497,4.0,-189.621959493,92.2799,93.7659,102.8331,54.3023,121.428,129.8828,103.5548,137.1363,0.0,835.1831,7.05,7.01,set1,70,2rde
0,9.2334581811,-8.0807419716,-0.04970861730000001,4.0,26.0,4.0,17.0,-0.019576848100000002,-3.6595063032999997,4.0,-46.235681513100005,8.2305,14.9585,22.436999999999998,25.0009,81.7251,219.7547,459.6225,82.9183,0.0,914.6475,8.39,8.0,set1,71,3e92
0,5.9002302345,-30.0588382893,-1.2196031626000001,7.0,31.0,7.0,11.0,-0.2182572844,-4.6332949622,8.0,-65.5700964983,26.7192,93.906,6.4771,37.3789,53.4075,146.3378,185.3854,143.299,44.1845,737.0954,7.01,7.6,set1,72,2zmm
0,6.7387780072000005,-27.6886387033,-0.5331518763,15.5,48.0,12.5,25.0,-0.1406613773,-5.909406194400001,12.0,-94.61371127860001,64.667,36.6923,25.983,42.6115,190.1946,257.2325,434.6683,163.6464,0.0,1215.6956,8.28,9.01,set1,73,2q54
0,7.362545238099999,-21.0526226451,0.326036305,9.0,38.0,9.0,15.0,0.048667061500000004,-2.0132613473,8.0,-42.204259105300004,33.3113,9.453,12.1616,12.6457,115.6322,203.0965,382.2315,214.5703,0.0,983.1021,8.15,8.7,set1,74,3eqr
0,4.4749271363,-36.1799003581,-0.5797798356,9.0,31.0,9.0,0.0,-0.11410903929999999,-6.761017423999999,14.0,-89.2710948119,62.2513,70.285,76.5784,12.4882,63.6828,117.5805,35.3831,108.9114,0.0,547.1607,4.94,6.35,set1,75,2p09
0,3.4741093709,-19.021750202899998,-0.593100014,8.0,23.0,8.0,0.0,-0.1292776125,-5.1300583996,6.0,-49.7154534268,0.0,5.7127,89.4234,45.2717,6.7808,26.2814,67.3784,123.3423,0.0,364.1907,3.64,3.29,set1,76,1ax1
0,2.6297743621,-6.666910657000001,-0.1063047057,3.5,13.0,3.5,0.0,-0.024271184100000003,-3.2118646912,6.0,-46.2541507913,0.0,0.0,71.8385,19.2207,112.351,61.8314,75.5809,105.5787,0.0,446.4012,5.01,6.92,set1,77,3bl0
0,7.1361315449000005,-25.9540742164,0.2170323561,4.5,31.0,4.5,13.0,0.041940958199999996,-2.903520165,6.0,-53.287667085200006,69.2595,18.5281,62.6655,6.9332,61.0738,301.1784,56.1036,95.6467,92.1085,763.4973,8.0,8.47,set1,78,2oag
0,5.004074157200001,-31.0361256955,-0.8377849431000001,8.5,26.0,8.5,1.0,-0.18083462460000002,-6.6650916017999995,8.0,-114.171503308,0.0,12.3026,103.288,29.9428,47.053999999999995,14.1146,81.6612,253.0546,0.0,541.4178,4.66,4.41,set1,79,2arb
0,4.0906883998,-18.3496826555,-0.6265251533,3.5,12.0,3.5,0.0,-0.1460085194,-5.675532907899999,4.0,-67.1205769999,0.0,11.6412,89.5679,24.5971,5.5296,12.4325,19.5936,139.6666,0.0,303.0285,3.95,3.28,set1,80,2are
0,7.7273244849000005,-8.6534362938,-0.5325357447,3.0,24.0,3.0,18.0,-0.0916789151,-1.6425995107,2.0,-13.3464300071,12.0393,44.5478,0.0,16.1746,7.3066,322.7643,226.3148,51.3427,0.0,680.4901,6.89,6.26,set1,81,3bgz
0,3.1929333143000003,-24.603389055900003,-0.6753902570999999,4.5,10.0,4.5,0.0,-0.1648518775,-6.9809544005,6.0,-84.3805795765,45.8837,93.1011,39.9997,26.935,54.3978,0.0007,51.1533,180.1713,0.0,491.6426,4.62,5.48,set1,82,3bxe
0,4.9158866544999995,-7.0273696477,0.1124733566,3.0,18.0,3.0,11.0,0.021982695299999997,-0.73349,4.0,-30.5740343304,9.5281,3.5445,31.6556,3.8953,38.8009,205.0191,163.465,116.8146,0.0,572.7231,4.8,3.82,set1,83,2vuk
0,8.0788348976,-28.967177787399997,0.2669023412,13.0,45.0,12.0,22.0,0.0119632219,-4.8600607306,10.0,-83.6391678845,43.3265,30.9529,42.94,32.4933,128.4614,349.3262,489.6333,213.3794,0.0,1330.513,8.31,8.48,set1,84,2r5p
0,3.6693570739999997,-15.2533206346,-0.6477156794,1.5,6.0,1.5,1.0,-0.14120415990000001,-5.11902671,2.0,-60.790286908599995,40.1592,46.868,0.0,0.0,0.0,0.0,60.3471,44.2875,0.0,191.6618,5.42,5.48,set1,85,3f48
0,5.0801077306,-5.1498259551,-0.0005501175,3.0,13.0,3.0,6.0,0.0021711304,-1.6273869281,6.0,-25.0853726698,44.4818,9.6928,38.4397,22.1785,11.533,191.2092,137.9246,64.2294,0.0,519.689,6.75,8.7,set1,86,3brn
0,5.4921677427999995,-30.7650277915,-0.8370147786,15.0,34.0,12.0,12.0,-0.1868052332,-6.852322259199999,12.0,-84.42669409279999,40.8946,76.3452,47.1257,49.1104,68.0746,136.1078,199.1368,240.9781,0.0,857.7732,5.57,5.3,set1,87,2q3c
0,3.8475291299000003,-15.2673669681,-0.6782435332,4.5,9.0,4.5,1.0,-0.1400012363,-4.991986242,6.0,-74.7694840689,34.7476,47.9273,0.0,0.0,27.5476,0.0,26.8649,128.5307,0.0,265.6181,5.9,6.63,set1,88,3f3d
0,6.1553307215999995,-24.6880191321,-0.044948267199999996,5.0,29.0,5.0,7.0,-0.010657609699999999,-2.0740529985,6.0,-108.794581514,0.0,20.7659,27.5555,46.0348,187.5141,246.4654,91.3781,301.0097,53.5287,974.2522,7.94,9.4,set1,89,2w26
0,4.1727952704,-29.473821335100002,-1.0826605796,9.0,23.0,9.0,0.0,-0.24420816059999997,-7.5208543848,6.0,-99.5490720926,22.057,42.8508,153.9149,26.8399,10.7434,62.6703,22.7314,180.0365,0.0,521.8442,2.77,2.46,set1,90,2add
0,5.448957846900001,-19.1443677262,-0.45813051909999997,3.5,13.0,3.5,3.0,-0.0958157987,-6.954438737,4.0,-69.0423061301,32.2551,57.0883,26.3368,38.3819,44.8207,51.5878,136.2475,72.3342,0.0,459.0523,7.03,7.64,set1,91,3fat
0,7.1976273465,-26.5936188172,-0.2573523014,12.5,40.0,10.5,20.0,-0.0885029034,-2.8936327198000003,8.0,-64.278736009,0.0,21.6004,27.5432,28.8292,120.1036,268.5764,316.4305,94.0795,149.89,1027.0528,7.63,7.28,set1,92,2qhz
0,7.732583608200001,-25.835556902199997,0.1961939052,8.0,36.0,8.0,11.0,0.025738164100000002,-2.5834397987999997,10.0,-83.1578004022,3.5575,27.5437,22.7691,32.584,88.1288,382.3671,323.9717,234.7594,41.8023,1157.4836,8.36,8.52,set1,93,2qu6
0,2.2281299079,-23.699340626199998,-0.8416137609000001,3.0,9.0,3.0,1.0,-0.147578188,-4.0473684804,4.0,-41.4648131665,61.2244,112.0199,0.0,13.0932,2.0877,16.0516,37.4027,83.3293,0.0,325.2088,2.48,2.72,set1,94,2rkd
0,5.9360978955,-12.4470392389,0.1454950764,3.0,22.0,3.0,10.0,0.0220853839,-1.4099731572,3.0,-38.3764095121,2.5388,16.2106,8.2179,19.7111,34.525,262.4581,66.5,53.6601,0.0,463.8216,6.32,6.29,set1,95,2q6m
0,4.8109975845,-26.979053142399998,-0.5480050488,6.5,20.0,5.5,6.0,-0.166868975,-9.9256233545,6.0,-94.37573778299999,25.9646,49.8527,98.0994,0.2412,36.7042,111.2981,9.8064,167.6347,0.0,499.6013,5.81,6.0,set1,96,3ddg
0,2.8978942967,-21.4821177146,-0.7876729063,2.0,12.0,2.0,3.0,-0.1315440966,-1.8282384948,2.0,-46.7959505147,5.4555,64.3129,0.0,8.0219,24.6506,103.7297,52.2349,57.7999,0.0,316.2054,3.19,5.35,set1,97,2gkl
0,9.2570912289,10.2318407597,-0.22571687769999998,6.5,30.0,6.5,24.0,-0.057197550199999996,-4.0096890991,10.0,-34.3298552056,11.0521,0.0,98.8424,12.1831,9.1464,89.1349,777.3727,85.3569,0.0,1083.0885,9.74,10.1,set1,98,2o4j
0,7.263707460599999,-67.9683227372,-1.2813190112000001,9.5,38.0,9.5,0.0,-0.2892664513,-11.9721558082,14.0,-158.774120681,2.8143,172.9743,119.1181,91.90100000000001,82.8527,106.3562,81.5559,251.8069,0.0,909.3794,5.92,6.15,set1,99,2r75
0,5.3268611015,-29.642017926999998,-0.2955597955,7.5,32.0,7.5,6.0,-0.0559139427,-3.8061162845,8.0,-64.58352310869999,56.1332,66.0171,22.8819,46.8197,25.5423,278.5438,24.5116,62.897,34.4804,617.827,5.63,5.71,set1,100,2v8y
