,pKd,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta
2drc,9.886056647693165,5.5418543554,-29.6457733958,0.0445301779,9.5,33.0,8.5,7.0,0.0070635087,-6.204261839500001,10.0,-64.99535573899999,87.4072,67.8913,47.1732,8.4161,77.4216,111.6737,215.0485,156.7621,0.0,771.7937,4.344202292293165
1lst,7.853871964321763,4.7044654969,-12.6107248673,-0.28023718940000003,6.0,10.0,6.0,3.0,-0.057806346900000014,-7.497250676599998,10.0,-62.702465999,99.4472,57.6905,0.0,0.0,0.0,0.0,70.7912,58.8968,0.0,286.8257,3.1494064674217626
1dhj,6.55129368009492,6.3889986309000015,-22.4183590204,-0.0525692283,9.5,33.0,8.5,7.0,-0.0186599856,-5.561365189400001,10.0,-86.8934429675,73.2197,65.3211,48.9219,10.1389,248.593,138.5019,234.1351,235.3646,0.0,1054.1962,0.16229504919491866
1adl,5.356547323513811,4.1081234571,2.7897852056,-0.2567875141,14.0,22.0,14.0,19.0,-0.0529286384,-1.9559464387,16.0,-13.382238988900001,26.4979,51.4829,40.2903,1.6291,100.8443,49.0084,590.8118,171.00599999999997,0.0,1031.5707,1.2484238664138116
1mfd,5.309803919971486,4.8991704174,-20.7427011154,-0.2998873865,11.0,33.0,11.0,2.0,-0.0641950448,-5.678635570599999,8.0,-82.7633074755,0.0,0.0,108.7957,33.7297,116.5134,98.8558,93.3614,184.4606,0.0,635.7166,0.41063350257148645
2cgr,7.275724130399211,6.9654997662,-19.8306649796,-0.0363224248,6.0,29.0,5.0,17.0,-0.0137822771,-3.9778336284,4.0,-79.5603620227,23.315,40.2535,30.4122,41.0515,146.1856,380.3169,10.3839,147.507,0.0,819.4256,0.31022436419921107
1dhi,7.259637310505756,5.9259977382,-22.6464377359,-0.1386076053,10.0,33.0,9.0,7.0,-0.0271758045,-5.7254909118,10.0,-77.8146998321,73.0343,65.7624,49.9211,3.7743,207.9602,135.1256,202.9458,207.0398,0.0,945.5635,1.3336395723057555
1srg,5.301029995663981,4.448147416399999,-17.7272650462,-0.8002522598,3.5,19.0,3.5,10.0,-0.1870986292,-5.14323188,4.0,-51.256449902700005,0.0,59.0452,44.6072,14.322,36.9741,315.7111,113.4391,30.8211,0.0,614.9198,0.8528825792639818
1erb,8.096910013008056,6.1591448696,11.1846075952,-0.0584371483,7.0,24.0,7.0,20.0,-0.0069754899,-0.0,10.0,-12.354436126400001,4.4107,1.2856,5.8244,40.7183,37.5818,111.2425,687.5782,137.3113,0.0,1025.9528,1.9377651434080558
1mfa,5.040958607678906,5.358254473500001,-16.5951232312,-0.2272425369,11.0,33.0,11.0,2.0,-0.0566400978,-7.9193008226,8.0,-92.8584256992,0.0,0.0,118.9194,27.822,180.5579,99.7164,93.29,191.6286,0.0,711.9343,-0.3172958658210945
1tni,4.0,1.7752511772,-2.5488117359,0.132394945,4.5,11.0,4.5,9.0,0.0286647892,-1.6968410962,6.0,-29.9135412552,42.9908,6.0757,3.8345,10.1563,70.0413,106.8665,91.4266,78.7275,0.0,410.1192,2.2247488228
2ctc,3.886056647693163,3.9584108132,-14.4294133223,-0.7043557772,3.5,12.0,3.5,7.0,-0.1569888647,-5.2023585089,4.0,-40.5397355785,12.528,57.0324,36.4008,17.6052,23.8128,163.2327,86.8419,52.7023,0.0,450.1561,-0.07235416550683693
1add,6.7447274948966935,6.1981812074,-27.990997951100002,-0.6102343404,4.0,19.0,4.0,1.0,-0.1375220401,-6.4523208226,4.0,-110.98046239799999,0.0,26.8699,115.8687,7.6586,84.7777,175.5627,51.4289,123.7668,0.0,585.9333,0.5465462874966933
1elc,6.657577319177793,2.5154819503,-18.284130654200002,-0.0816961162,13.5,36.0,11.5,21.0,-0.0212858798,-3.2425319081,12.0,-83.9777615383,3.0246,1.8227,18.8525,72.6505,219.4394,250.0482,189.8006,171.0026,10.2989,936.94,4.1420953688777935
1wht,3.6989700043360183,3.6116240761,-24.673569379099998,-1.321822329,5.0,15.0,4.0,9.0,-0.2901759789,-4.1645288381,4.0,-55.7779829936,0.0,114.0726,13.3631,16.0753,55.0072,178.2839,75.0414,47.9404,0.0,499.7839,0.08734592823601828
2sim,3.42021640338319,5.982953236699999,-24.8337562602,-1.4221344213999998,7.0,20.0,7.0,2.0,-0.2874180565,-12.444692070899999,8.0,-125.28501371799999,19.1317,68.7726,104.2822,12.6367,123.2176,15.7687,112.6628,148.3354,0.0,604.8077,-2.5627368333168095
1tnh,3.3665315444204134,3.6982272404,-7.7914828552,0.1770424813,1.5,9.0,1.5,6.0,0.031562074700000005,-3.171244015,2.0,-33.963080866,45.8155,1.3418,13.1776,8.769,43.9408,140.9441,12.5149,60.6217,0.0,327.1254,-0.3316956959795867
1ela,6.356547323513813,5.6483571034,-14.6586582869,-0.0129314287,10.5,32.0,9.5,16.0,-0.0145084322,-4.792330263999999,12.0,-73.87106884239999,3.0071,1.7822,17.713,53.3938,189.6081,157.1319,191.967,209.6017,10.6377,834.8425,0.7081902201138126
1cbx,6.346787486224656,4.2579681292,-22.4396889096,-0.9945684306,5.0,15.0,4.0,9.0,-0.2444502123,-5.3003601078,4.0,-57.13463876270001,17.096,115.045,15.5583,22.958,27.1469,166.6859,136.6257,55.7599,0.0,556.8757,2.088819357024656
1ppc,6.161150909262744,6.584833126,-17.2344844595,-0.597647652,9.5,37.0,8.5,19.0,-0.1424364231,-6.9353093178,10.0,-98.9078771393,39.5344,5.891,71.9091,20.3119,222.3577,226.8365,109.5797,161.9754,0.0,858.3957,-0.42368221673725603
1hps,9.221848749616356,6.5852805549,-21.7397927516,-0.4801645587,17.5,47.0,14.5,28.0,-0.1219353776,-6.210687211900001,12.0,-94.0765985563,52.2347,57.9031,25.0773,42.7334,184.0569,307.0656,531.3431,114.7722,0.0,1315.1863,2.6365681947163564
1azm,6.096910013008057,3.4180267255000003,-6.7248123576,-0.2812640754,2.5,13.0,2.5,1.0,-0.053104676,-2.8474668592000003,4.0,-60.8995109045,0.0,0.0,50.9577,20.3485,186.9635,93.4624,147.0635,24.4329,0.0,523.2285,2.678883287508057
1tng,2.9318141382538383,3.0521545786,0.3674564853,0.124546602,1.5,8.0,1.5,6.0,0.023112269900000003,-2.4539494742,2.0,-25.0444879372,42.6964,5.1275,16.3517,8.9669,49.663,0.0,159.5307,79.759,0.0,362.0952,-0.12034044034616187
1pph,5.920818753952375,6.1134484426,-14.210231840499999,-0.5950290927,7.5,30.0,6.5,16.0,-0.1404560001,-6.0503462979,8.0,-78.0325757017,39.2073,6.3479,59.0841,18.9695,209.703,149.0273,171.0183,122.049,0.0,775.4064,-0.1926296886476253
1fki,7.0,8.3496394056,-4.3528010513,-0.0335865071,0.0,31.0,0.0,16.0,-0.0125353441,-1.7527917134,0.0,-36.4408687652,19.8511,5.9215,51.4165,3.2539,90.03399999999998,105.3995,310.2367,91.337,0.0,677.4502,-1.3496394055999996
1rpf,3.9871627752948284,3.4023300395,-27.3689030774,-0.5421664684,5.5,21.0,5.5,1.0,-0.125500139,-5.8341207808,4.0,-119.31863002,15.4906,86.4403,81.3177,25.601,170.5799,87.1757,27.3226,91.8371,0.0,585.7649,0.5848327357948286
1fkg,8.0,5.4774539334000005,-0.2928238778,-0.0262442722,10.0,33.0,9.0,22.0,-0.0084938142,-1.9484795105,10.0,-24.9006505482,0.0,2.2513,48.2793,2.7547,117.5897,225.6168,274.2715,71.3694,0.0,742.1327,2.5225460665999995
1tkb,8.0,5.5605070061,-34.2712493546,-1.1638725924,8.5,26.0,8.5,6.0,-0.2180445723,-4.1649982717,12.0,-101.634310814,0.0,177.7051,40.089,18.5999,107.2464,111.9782,291.5576,169.2725,0.0,916.4487,2.4394929939
1hvl,9.950781977329818,7.1131072938,-29.39021081,-0.7969808944,20.0,58.0,16.0,26.0,-0.187846789,-7.1376205296,14.0,-130.540777634,59.6931,49.2405,44.4947,36.7175,181.9634,324.3756,560.9266,215.0955,0.0,1472.5069,2.8376746835298183
1epo,7.9586073148417755,7.259042464199999,-26.855203355900002,-0.8711220636,16.0,46.0,13.0,20.0,-0.2070422223,-9.4333122014,10.0,-128.389275426,0.0,75.2183,93.1125,22.9346,317.4597,177.2969,403.872,227.5741,21.3058,1338.7739,0.6995648506417762
1hvk,10.958607314841776,7.7545663035,-30.4363509225,-0.7661963191,20.0,58.0,16.0,26.0,-0.1903626597,-8.9290818358,14.0,-140.536962726,58.364,52.7796,45.7853,38.0961,182.0076,337.3333,572.7133,212.1636,0.0,1499.2428,3.2040410113417765
1hvi,10.920818753952377,7.238871489199999,-29.4220589458,-0.7625948831999999,20.0,58.0,16.0,26.0,-0.17970505,-7.2218325165,14.0,-133.485153192,60.0723,46.7991,33.473,38.9288,190.4774,324.4701,558.1761,229.529,0.0,1481.9258,3.6819472647523774
1sbg,7.744727494896693,6.8472465084000005,-15.9238845275,-0.5604670439,14.5,39.0,11.5,22.0,-0.1176444611,-4.4604847182,12.0,-73.6774788267,28.7027,43.25,23.6804,33.2542,182.2851,289.4515,542.0243,83.0183,0.0,1225.6665,0.8974809864966922
1apv,9.0,6.3149674852,-21.4614186268,-0.7409275886,15.0,36.0,12.0,16.0,-0.1912868571,-8.4329565347,12.0,-107.34078233,0.0,54.1474,72.8681,29.7118,228.7531,41.0616,505.8912,92.6124,68.0482,1093.0938,2.6850325147999996
1ppk,7.657577319177793,4.9109135923,-20.912137305399998,-1.3291058847,16.0,35.0,13.0,15.0,-0.3356670287,-5.2978882465,14.0,-104.53147162,0.0,111.7547,36.9883,28.4958,227.4486,46.3291,556.4148,118.2953,0.0,1125.7266,2.7466637268777934
1lyb,11.42021640338319,5.3555699001,-20.0083309274,-0.7888904997,23.0,48.0,19.0,21.0,-0.1809006387,-9.5830175104,18.0,-103.12388964,0.0,43.5,111.5255,37.1529,150.9125,63.855,673.0071,175.2123,0.0,1255.1653,6.06464650328319
2cht,5.522878745280337,5.349489268,-22.6885694015,-0.3906347693,2.5,16.0,2.5,5.0,-0.1000920454,-5.2388789760000005,2.0,-56.134855218199995,0.0,85.4163,24.794,0.0,5.2157,0.0,92.1066,93.8397,0.0,301.3723,0.17338947728033727
1aaq,8.397940008672037,4.7560665184,-23.9633896913,-0.4770325564,18.0,41.0,15.0,17.0,-0.1360697299,-7.6479828716,16.0,-105.676456845,75.6924,81.4149,24.1813,46.0679,214.5013,113.392,529.4827,152.5516,0.0,1237.2841,3.6418734902720376
1hvj,11.397940008672034,7.0810244412,-26.844142326700002,-0.5303426096,19.5,57.0,15.5,27.0,-0.1333778216,-6.2080466479,14.0,-126.106082424,59.2566,52.0211,24.521,38.7629,188.3622,320.3164,567.6804,217.6302,0.0,1468.5508,4.316915567472034
1elb,7.154901959985742,3.494786454,-11.527382142,-0.14520168039999998,13.5,33.0,11.5,18.0,-0.034187968900000004,-2.9314441293,12.0,-72.7624133772,2.9257,0.0,18.6147,69.5062,263.9781,84.9053,203.1805,211.7388,12.6854,867.5347,3.660115505985742
8cpa,9.148741651280924,4.1162578612,-34.0665322956,-1.4098264591999998,12.0,32.0,11.0,14.0,-0.3174031277,-6.9854506942,12.0,-103.679229589,47.3283,115.8689,58.2239,33.9993,110.2755,320.1431,150.3943,114.2619,0.0,950.4952,5.032483790080923
1fkh,8.154901959985743,-1.1786377461,4.6426616295,0.0572488945,10.0,33.0,9.0,22.0,0.0032860352,-1.8562724826,10.0,-37.490837695500005,0.0,2.9979,33.0762,1.7469,214.0678,155.0293,324.2135,74.1813,0.0,805.3129,9.333539706085743
1siv,8.075720713938116,6.4725944862,-23.0758301168,-0.460705069,18.0,41.0,15.0,17.0,-0.1166909241,-8.9032629878,16.0,-114.42578962200001,62.7901,61.9479,21.8451,43.82100000000001,221.9087,111.6509,530.3113,158.7732,0.0,1213.0482,1.603126227738116
1drj,7.397940008672037,5.2122459541,-19.25557948,-0.7445290245,2.0,10.0,2.0,0.0,-0.1813847421,-8.6638005075,2.0,-59.723249666,0.0,0.0,101.4556,0.0,7.4387,0.0,0.0,120.3083,0.0,229.2026,2.1856940545720365
2dri,6.886056647693162,5.2187666802,-19.3014372748,-0.7397026603,2.0,10.0,2.0,0.0,-0.1855069559,-9.2365535089,2.0,-60.0654447557,0.0,0.0,102.6306,0.0,7.4892,0.0,0.0,119.7148,0.0,229.8346,1.6672899674931623
1drk,6.823908740944319,5.0188539807,-19.558224788900002,-0.8007436981,2.0,10.0,2.0,0.0,-0.1966706737,-9.0954740423,2.0,-60.258880738500004,0.0,0.0,102.7284,0.0,7.3785,0.0,0.0,120.0053,0.0,230.1122,1.8050547602443183
1flr,10.0,9.1035204276,-17.7032359138,-0.3794270421,2.5,25.0,2.5,15.0,-0.0884662289,-3.0470128137,4.0,-43.8254260382,8.1291,35.2703,38.7145,34.3063,101.7468,220.24,151.3849,93.6868,0.0,683.4787,0.8964795724000005
1hmr,6.552841968657781,3.7233566078,7.841330835599999,-0.2260102737,16.0,20.0,16.0,17.0,-0.0521731437,-2.2045555393000003,18.0,-14.585140584200001,15.783,61.8077,11.1456,1.3232,64.9234,52.986,598.2040000000002,39.8555,0.0,846.0284,2.8294853608577806
1hms,6.366531544420414,3.8385292076,6.915050324,-0.2217413619,15.0,20.0,15.0,17.0,-0.0516743705,-2.2584010402000003,16.0,-14.5693925539,17.0774,61.5724,10.7524,1.7137,64.1295,53.3169,606.0327,40.3396,0.0,854.9346,2.5280023368204136
1hmt,5.785156151952302,3.8468763238,7.8487170799,-0.2380835191,16.0,20.0,16.0,17.0,-0.0544469627,-2.2414647561,18.0,-14.761068160699999,16.3852,50.7335,10.1031,1.7238,63.0099,50.7882,586.1846,51.0199,0.0,829.9482,1.938279828152302
1cny,7.853871964321763,3.1178752826,-9.1508525373,-0.2248366897,15.0,33.0,15.0,12.0,-0.047075388200000005,-1.4829627471,16.0,-39.8605678479,0.0,0.0,60.1019,28.2899,112.3491,169.3499,115.0826,121.096,0.0,606.2694,4.735996681721763
1laf,7.853871964321763,5.9531295333,-24.533018025300002,-0.4717294237,5.5,12.0,5.5,2.0,-0.0904099774,-9.7927443061,6.0,-82.1389021083,147.702,57.6383,0.0,0.0,0.0,0.0,48.9331,56.8661,0.0,311.1395,1.9007424310217624
186l,4.853871964321762,4.4771422761,7.027802406799999,-0.0029559646999999995,3.0,10.0,3.0,10.0,-0.0002420517,-0.0,3.0,-0.0,0.0,0.0,0.0,0.0,0.0,149.1087,141.3724,0.0,0.0,290.4811,0.37672968822176145
1cnw,7.721246399047171,2.7641497301,-9.5494383382,-0.3349262038,13.0,26.0,13.0,5.0,-0.0616645043,-2.3519210152000003,20.0,-45.7864775673,0.3042,0.0,54.4078,19.2261,124.6201,163.5191,108.5918,128.2689,0.0,598.938,4.957096668947171
184l,4.721246399047171,4.8936545726,6.7394748227,-0.0023911774,2.0,10.0,2.0,10.0,-0.0001980423,-0.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,150.7627,139.8426,0.0,0.0,290.6053,-0.1724081735528289
1yda,6.552841968657781,3.5222483196,-8.299828099700001,-0.3606790377,2.5,13.0,2.5,1.0,-0.0773025111,-3.9354599111,4.0,-65.5978517599,0.0,3.753,59.637,28.1981,164.4268,60.6833,87.3371,29.2949,0.0,433.3302,3.0305936490577805
185l,3.537602002101044,4.5386087381,-0.7372087943000001,-0.0221293933,0.0,9.0,0.0,6.0,-0.0040635346,-0.0,0.0,-7.462578604299999,0.0,0.0,0.0,18.4916,0.0,223.0905,0.0,0.0,0.0,241.5821,-1.0010067359989558
1pgp,5.698970004336019,3.5772453998,-36.7998607759,-1.3096683997,9.0,17.0,9.0,0.0,-0.3093787471,-8.5953878952,8.0,-103.94377742799999,20.0846,149.5531,90.0648,31.1476,89.4423,17.3711,28.2751,138.9493,0.0,564.8879,2.121724604536019
1lah,7.522878745280337,4.6330382407,-13.8895280078,-0.3311780699,5.0,9.0,5.0,2.0,-0.0642463891,-7.9225355135000015,8.0,-64.9232169975,79.6085,56.7675,0.0,0.0,0.0,0.0,50.1946,66.5773,0.0,253.1479,2.889840504580337
187l,3.374687549038326,3.9875743756,3.2616980018,0.0109950151,0.0,8.0,0.0,8.0,0.0016503525,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,125.1696,125.0222,0.0,0.0,250.1918,-0.6128868265616738
1cnx,7.366531544420414,3.8048840213,-8.2443102416,-0.29027133260000004,11.0,22.0,11.0,5.0,-0.0558552635,-2.7170816768,18.0,-48.8975387278,8.6306,0.0,56.4636,24.52,132.4258,173.40200000000004,119.4538,142.9971,0.0,657.8929,3.561647523120414
188l,3.3279021420642825,4.2522835817,3.4862486304,0.0033153748,0.0,8.0,0.0,8.0,0.0006821457,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,137.8794,109.2333,0.0,0.0,247.1127,-0.924381439635718
1ydb,8.236572006437061,3.7300753762,-7.992613148099999,-0.2749927359,2.5,13.0,2.5,1.0,-0.0625153527,-4.0080754211,4.0,-56.2082482276,0.0,0.0,68.2462,27.0421,139.2987,94.5189,49.8891,20.4601,0.0,399.4551,4.506496630237061
1lag,6.301029995663981,4.883209675,-22.153488446500006,-0.613784432,3.5,11.0,3.5,1.0,-0.107896379,-7.4270630185,4.0,-80.7960579559,34.0008,54.9585,0.0,23.1709,14.8192,70.7911,32.7666,27.3161,0.0,257.8232,1.4178203206639814
1ydd,7.0655015487564325,2.2672249249000003,-8.5075598026,-0.258995319,2.5,13.0,2.5,1.0,-0.054417623099999986,-3.5784116489,4.0,-75.2571815699,23.1671,0.0,55.2076,25.9099,156.7682,69.5549,91.5241,26.174,0.0,448.3058,4.798276623856433
2gyi,7.0,3.5795338886000003,-11.132229074300001,-0.4935874257,5.0,10.0,5.0,0.0,-0.0928158246,-8.9143460217,6.0,-75.009107917,0.0,0.0,107.1723,26.4116,22.6509,0.0,0.0,87.9629,0.0,244.1977,3.4204661113999997
1cgl,6.8696662315049934,4.8366623996,-26.322975677,-0.3230510007,19.0,45.0,16.0,18.0,-0.074522584,-5.8671278308,16.0,-95.3597439576,13.9956,48.1381,22.8587,59.7534,169.6635,204.7334,218.8343,212.4375,0.0,950.4145,2.0330038319049937
1ele,6.853871964321763,5.2253167459,-20.9691881576,-0.1023438597,8.0,29.0,7.0,15.0,-0.028122006600000003,-3.3403574694,8.0,-74.81413894010001,27.4057,0.0,10.4462,42.1079,155.2994,87.7245,166.6559,220.3419,12.5274,722.5089,1.6285552184217629
1fpc,7.0,6.0707593246,-15.576877743399999,-0.0408920675,10.0,35.0,9.0,15.0,-0.007114853000000002,-5.5804579341,8.0,-97.6075974116,100.215,16.5712,27.5898,13.5217,199.0003,175.8085,249.927,231.1777,0.0,1013.8112,0.9292406754
