index2,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta_rf,nro_protein,protein,nro_decoy,decoy_name
11,5.8731937931,-19.6472484702,0.03447403,10.0,36.0,10.0,13.0,0.0014963195999999998,-1.5223071507,12.0,-70.2564154526,0.0,21.328000000000007,43.9235,42.1054,179.7335,233.1009,246.858,212.6722,65.2672,1044.9887,7.72,33,2j4i,481,ligand_decoy_0
12,3.6734572831,-5.568802777999999,-0.0261049091,10.0,36.0,10.0,13.0,-0.0047016709000000005,-0.0,12.0,-13.0731903123,0.0,0.0,0.1261,13.1699,63.4694,177.0649,53.8731,24.5797,66.0848,398.3679,3.74,33,2j4i,319,ligand_decoy_494
13,3.5177300212,-5.4103322635,-0.0770604594,10.0,36.0,10.0,13.0,-0.0169362841,-0.73349,12.0,-8.556945684299999,16.5362,0.0,19.3046,14.497,51.2302,161.2998,81.7993,21.3215,65.399,431.3876,3.58,33,2j4i,42,ligand_decoy_13
14,3.4053446834,-5.236267751600001,-0.0169656237,10.0,36.0,10.0,13.0,-0.006381363,-0.0,12.0,-12.1853886861,0.0,0.0,0.0197,5.1314,52.258,172.1872,32.4941,23.5891,65.6897,351.3692,3.48,33,2j4i,493,ligand_decoy_353
15,3.2861012141000003,-4.5894982743,-0.1044049666,10.0,36.0,10.0,13.0,-0.0202003146,-0.262149326,12.0,-11.5612840498,0.4412,0.0,4.8783,8.8769,72.396,160.3183,25.906,26.4602,66.2324,365.5093,3.37,33,2j4i,152,ligand_decoy_71
16,3.1898453214,-4.9385294908,-0.0408994024,10.0,36.0,10.0,13.0,-0.007202871800000002,-0.0,12.0,-7.327645783899999,6.5491,0.0,4.1751,1.9751,39.7743,170.4017,35.7749,16.2369,65.6887,340.5758,3.25,33,2j4i,321,ligand_decoy_330
17,3.0921077789,-6.201357219099998,-0.0227015155,10.0,36.0,10.0,13.0,-0.0071368577000000015,-0.7114486255,12.0,-12.923477668399999,6.8203,0.3981,1.0956,15.5375,63.875,154.7775,31.9263,26.3244,64.76,365.5147,3.12,33,2j4i,65,ligand_decoy_318
18,2.9771992355,-6.314498051599998,-0.1133462097,10.0,36.0,10.0,13.0,-0.0175964251,-0.0,12.0,-6.8288139047000005,11.5081,0.0,11.3323,10.4843,54.8838,151.4413,30.3719,13.8758,64.0666,347.9641,3.0,33,2j4i,367,ligand_decoy_300
19,2.8546110518,-5.7418844133,-0.0188433581,10.0,36.0,10.0,13.0,-0.004620987,-0.2975108789,12.0,-9.4952187574,7.491,0.1735,0.7735,5.7525,41.7142,155.0649,33.9268,23.6751,64.9219,333.4934,2.9,33,2j4i,345,ligand_decoy_499
20,2.6244785643,-3.0873841033,-0.0612170754,10.0,36.0,10.0,13.0,-0.016540199499999998,-0.0,12.0,-8.745034525,0.0,13.9996,9.8527,0.0273,27.9076,141.1684,25.1777,13.6992,67.8601,299.6926,2.76,33,2j4i,142,ligand_decoy_45
21,1.0770493811,-2.0905858631,-0.0534274116,10.0,36.0,10.0,13.0,-0.0098067613,-0.0,12.0,-4.4884746966,19.9151,0.0,0.0,5.5583,29.1776,54.191,8.9431,20.5569,3.7132,142.0552,1.12,33,2j4i,50,ligand_decoy_389
22,3.4842168631,-24.642095323200003,-0.7945310378,10.0,20.0,9.0,2.0,-0.1601502066,-7.5503700224,8.0,-75.9495007762,48.1916,108.4716,34.0031,56.2528,50.69300000000001,11.9287,80.6307,127.0825,0.0,517.254,4.22,73,1xw6,20,ligand_decoy_4
23,2.8014623664,-21.0267817924,-0.3415276138,10.0,20.0,9.0,2.0,-0.08968382230000001,-3.3916650949,8.0,-37.653716484899995,63.1844,102.223,31.8583,32.1418,45.7918,32.5834,50.477,117.8897,0.0,476.1494,2.99,73,1xw6,204,ligand_decoy_35
24,2.6332437698,-19.8188777953,-0.5031668051,10.0,20.0,9.0,2.0,-0.0916715802,-2.0369384045,8.0,-31.7615619753,56.1023,90.2729,28.8879,19.0403,52.8258,46.1886,90.1081,95.1629,0.0,478.5888,2.66,73,1xw6,488,ligand_decoy_364
25,2.5072375227,-19.4305388497,-0.4627368363,10.0,20.0,9.0,2.0,-0.1042656035,-2.7062333597,8.0,-33.9006168576,58.38399999999999,99.3299,69.5727,20.496,38.1245,28.8603,49.8896,72.4809,0.0,437.1379,2.6,73,1xw6,93,ligand_decoy_225
26,2.4044829086000004,-22.381442468699998,-0.6537376322999999,10.0,20.0,9.0,2.0,-0.1370672763,-1.8844751731,8.0,-45.098185221099996,50.1757,107.1129,46.9698,29.6684,35.4557,45.6083,61.515,114.9886,0.0,491.4944,2.54,73,1xw6,83,ligand_decoy_370
27,2.2962051148,-16.2751602234,-0.6329505257,10.0,20.0,9.0,2.0,-0.1163975281,-2.4569274436,8.0,-22.2650816151,57.7684,66.5188,26.9472,19.5174,27.7548,24.5581,60.8394,68.6261,0.0,352.5302,2.33,73,1xw6,218,ligand_decoy_2
28,2.1783259369,-18.105613857999998,-0.369458913,10.0,20.0,9.0,2.0,-0.0819675075,-2.1778565033,8.0,-36.8649653483,56.4359,84.3547,58.9622,25.4351,43.2402,34.7453,59.8765,102.4378,0.0,465.4877,2.23,73,1xw6,189,ligand_decoy_184
29,2.072622693,-16.1103596902,-0.5106337333,10.0,20.0,9.0,2.0,-0.0938573804,-1.6101719178,8.0,-22.8749345407,59.2322,52.2771,26.353,32.4891,36.3973,16.8353,75.6565,95.2058,0.0,394.4463,2.07,73,1xw6,473,ligand_decoy_298
30,1.9514794846,-14.1624082925,-0.457991156,10.0,20.0,9.0,2.0,-0.0772291621,-1.2785024096,8.0,-20.2276077629,74.3057,46.8361,59.6122,26.6021,36.964,33.5205,78.6232,56.7704,0.0,413.2342,1.96,73,1xw6,302,ligand_decoy_221
31,1.7954148173,-12.857595596600001,-0.1495806157,10.0,20.0,9.0,2.0,-0.0288848362,-2.5688360129,8.0,-27.8687838473,77.2309,46.6852,25.4834,20.8682,34.3882,5.2899,66.0868,32.4536,0.0,308.4862,1.82,73,1xw6,101,ligand_decoy_47
32,1.0083507077,-18.033504456099998,-0.4185513987,10.0,20.0,9.0,2.0,-0.07785996349999999,-1.5815951474,8.0,-44.291045490200005,53.481,77.2996,80.2816,25.9152,57.3713,55.9233,99.9683,134.1335,0.0,584.3738,1.18,73,1xw6,363,ligand_decoy_138
33,7.1282171878,-25.6261014978,-0.6715394346,5.0,27.0,5.0,11.0,-0.1364951541,-3.1253862202,4.0,-68.9910571838,16.8025,47.6645,69.9021,60.389,62.9431,125.5415,202.117,70.9585,0.0,656.3182,7.28,135,1yc1,478,ligand_decoy_1
34,4.545151468899999,-24.0523546934,-0.4121553659,5.0,27.0,5.0,11.0,-0.0890530209,-1.8445953218,4.0,-46.2704489391,11.8502,46.7754,31.8825,45.4783,98.0637,95.8485,102.1629,109.4439,0.0,541.5054,4.8,135,1yc1,24,ligand_decoy_338
35,4.2018268046,-20.1603100554,-0.4425585264,5.0,27.0,5.0,11.0,-0.0691240976,-0.6269945869,4.0,-49.8893125615,32.7497,34.2968,51.0781,53.736,94.1197,100.041,140.5675,107.4881,0.0,614.0769,4.51,135,1yc1,341,ligand_decoy_256
36,3.9850291653,-23.5095940981,-0.7278714666,5.0,27.0,5.0,11.0,-0.1556612478,-3.3119934111,4.0,-58.422331801999995,19.046,56.0626,14.0102,47.1756,76.7774,54.5996,46.3697,96.4898,0.0,410.5309,4.38,135,1yc1,226,ligand_decoy_479
37,3.5741647418,-15.2095606212,-0.7032408724,5.0,27.0,5.0,11.0,-0.13017247029999998,-1.6986088071,4.0,-29.1879362727,38.7086,27.7623,31.2468,29.9565,54.2241,76.4548,123.8283,70.425,0.0,452.6064,3.7,135,1yc1,339,ligand_decoy_433
38,3.2429426625,-18.690894868599997,-0.4593627823,5.0,27.0,5.0,11.0,-0.07920225019999999,-2.8055552406,4.0,-52.3902347353,42.3179,53.7718,44.1169,55.6043,57.2212,98.1171,164.2615,98.0334,0.0,613.4441,3.4,135,1yc1,426,ligand_decoy_451
39,2.814474479,-23.931614904499998,-0.6549038814,5.0,27.0,5.0,11.0,-0.1231383012,-4.0119482483,4.0,-69.49649047300001,30.3459,48.0854,44.3607,67.4049,83.3205,96.1034,162.9812,95.3983,0.0,628.0003,2.77,135,1yc1,295,ligand_decoy_188
40,2.4154925935,-8.281967618200001,-0.4742306246,5.0,27.0,5.0,11.0,-0.08830486109999999,-0.4727269701,4.0,-11.2713574575,0.4478,20.7619,9.9478,2.2315,27.3622,98.7343,76.2557,36.5978,0.0,272.339,2.43,135,1yc1,332,ligand_decoy_17
41,2.176631575,-9.5509346578,-0.2690001226,5.0,27.0,5.0,11.0,-0.0481976279,-0.2869339531,4.0,-19.3916565448,12.6542,27.8325,18.0157,17.6282,23.5324,73.3905,59.3717,53.9543,0.0,286.3795,2.18,135,1yc1,210,ligand_decoy_54
42,1.9015948297,-7.1869110576,-0.3650212985,5.0,27.0,5.0,11.0,-0.074522584,-0.0956764356,4.0,-11.2430227388,33.5719,43.9559,0.0,4.8163,14.3704,49.8759,100.8882,30.4622,0.0,277.9408,1.94,135,1yc1,429,ligand_decoy_303
43,0.9572557943,-8.9245488676,-0.5418950771,5.0,27.0,5.0,11.0,-0.1271431566,-0.5195383018999999,4.0,-20.486544402699998,40.8799,75.6891,4.6881,7.3424,15.4418,37.4098,14.4072,27.1807,0.0,223.039,0.94,135,1yc1,185,ligand_decoy_239
44,5.9564669128,-24.2830593031,-0.0471267325,5.0,30.0,5.0,8.0,-0.0115231279,-1.1655816241,6.0,-92.0439950777,0.0,22.4113,23.4249,54.7165,175.6139,209.521,151.27700000000004,263.6107,65.4267,966.002,7.0,123,2j2u,481,ligand_decoy_0
45,4.6710770321,-11.8564330909,-0.0776179118,5.0,30.0,5.0,8.0,-0.0193714709,-0.2981123407,6.0,-26.3019831932,0.0,0.0,18.8024,20.9306,92.2933,169.033,72.1324,57.2383,67.5882,498.0182,4.85,123,2j2u,142,ligand_decoy_45
46,4.3848105549000005,-9.7570673525,-0.0406280111,5.0,30.0,5.0,8.0,-0.0099094499,-1.5011532991,6.0,-23.2588285369,32.3115,7.9116,12.3129,10.7747,52.0114,155.7488,57.8871,36.4797,62.5049,427.9426,4.42,123,2j2u,388,ligand_decoy_30
47,4.2485427827,-9.3716403622,-0.0706790964,5.0,30.0,5.0,8.0,-0.0159460726,-0.4278153774,6.0,-18.0260742024,0.0,0.0,24.5734,25.6052,79.5442,147.0475,69.9303,30.8891,64.3194,441.9091,4.28,123,2j2u,155,ligand_decoy_404
48,4.1547954258,-10.3331650683,-0.09005056730000001,5.0,30.0,5.0,8.0,-0.015520648400000003,-0.408480581,6.0,-23.844322259600002,0.0,0.0,21.7968,29.665,92.2262,147.2346,82.809,48.6672,61.2508,483.6496,4.26,123,2j2u,256,ligand_decoy_305
49,4.0395934864,-8.8964195261,-0.1165442261,5.0,30.0,5.0,8.0,-0.0211465167,-1.1172006237,6.0,-16.9225311625,18.3393,0.0,9.4206,8.9708,58.9836,154.1597,28.9296,18.7347,64.2977,361.836,4.08,123,2j2u,114,ligand_decoy_342
50,3.9142473803,-8.5350730125,-0.0256501453,5.0,30.0,5.0,8.0,-0.0045769776000000005,-0.0,6.0,-13.950026263,35.8243,0.0048,1.2312,6.6584,37.3365,160.3642,55.7949,40.5031,66.3836,404.101,3.95,123,2j2u,57,ligand_decoy_341
51,3.7791385223,-8.6172899066,0.0316794331,5.0,30.0,5.0,8.0,0.0024718613,-0.0,6.0,-12.570617634100001,31.6051,0.3302,1.7796,6.3906,41.88,161.1958,50.8923,40.521,66.0386,400.6332,3.83,123,2j2u,139,ligand_decoy_161
52,3.6557361647,-7.8730836177,-0.0220340396,5.0,30.0,5.0,8.0,-0.0084204652,-1.2744975542,6.0,-22.034325661100002,6.1883,0.0,1.859,9.8138,52.5923,153.366,21.8284,39.8655,61.4444,346.9577,3.71,123,2j2u,321,ligand_decoy_330
53,3.4323517852,-7.6312813043,-0.0747939753,5.0,30.0,5.0,8.0,-0.009975464,-0.0,6.0,-10.7128708366,18.2995,2.7008,8.4267,7.1248,43.0239,139.4045,46.7254,36.8349,66.8055,369.346,3.46,123,2j2u,329,ligand_decoy_376
54,2.5881341348,-7.3125138852,-0.0193421313,5.0,30.0,5.0,8.0,-0.0020244324,-0.0,6.0,-14.013267770799999,0.0,0.0,5.8946,27.5951,27.6196,111.1958,62.3716,44.6449,54.697,334.0186,2.6,123,2j2u,255,ligand_decoy_269
55,2.9234857627999995,-0.5274893335,-0.12624829880000002,0.5,7.0,0.5,5.0,-0.0357576375,-1.0685042226,1.0,-8.8893780221,0.0,1.9872,43.3888,20.1865,0.6421,151.1778,62.6606,4.4716,0.0,284.5146,3.1,25,2pzv,140,ligand_decoy_60
56,2.4650031685,-0.243078586,-0.0484250098,0.5,7.0,0.5,5.0,-0.005706552199999999,-0.0,1.0,-0.9202952332,0.0,1.9872,29.9462,21.5186,1.9564,154.0245,66.0034,10.9885,0.0,286.4248,2.55,25,2pzv,314,ligand_decoy_160
57,2.3100827456,-0.8514351920000001,-0.0710605112,0.5,7.0,0.5,5.0,-0.0161001055,-0.1806219125,1.0,-4.4792840669,0.0,0.1369,34.9519,23.6256,3.8577,139.5765,35.3386,0.8116,0.0,238.2988,2.4,25,2pzv,346,ligand_decoy_105
58,2.2175383123,-0.2839853233,-0.0228702182,0.5,7.0,0.5,5.0,-0.0025378754,-0.0,1.0,-1.6593010780000002,0.0,0.0,31.0663,9.5687,1.6348,143.7184,46.0968,29.9822,0.0,262.0672,2.21,25,2pzv,262,ligand_decoy_228
59,2.1145563163,-0.168629351,-0.0717646616,0.5,7.0,0.5,5.0,-0.0101661714,-0.0,1.0,-0.3496986924,0.0,0.0,29.6755,0.1145,0.2527,138.4658,51.6494,16.9302,0.0,237.0881,2.13,25,2pzv,81,ligand_decoy_146
60,2.0067626259,-0.4129181955,-0.0485937125,0.5,7.0,0.5,5.0,-0.0058385804000000005,-0.0,1.0,-2.2635574749000003,0.0,0.0,29.7376,10.9884,2.1403,145.6997,42.1978,24.4263,0.0,255.1901,2.0,25,2pzv,336,ligand_decoy_236
61,1.8409572114,0.4637343827000001,-0.0476108359,0.5,7.0,0.5,5.0,-0.0062713395,-0.0,1.0,-0.3582658556,0.0,0.0,8.933,0.5401,0.2082,143.4698,39.6888,10.0305,0.0,202.8704,1.84,25,2pzv,107,ligand_decoy_131
62,1.6795967463,0.2807506324,-0.0181612124,0.5,7.0,0.5,5.0,-0.0024131821,-0.0,1.0,-1.6327560749,0.0,0.0,21.1547,0.0,0.0,87.8813,29.2549,13.4842,0.0,151.7751,1.71,25,2pzv,8,ligand_decoy_316
63,1.553898565,0.1669129844,-0.0631901635,0.5,7.0,0.5,5.0,-0.0081490739,-0.0,1.0,-0.0,0.0,0.0,20.2437,1.0737,0.0,105.1881,31.5755,7.3851,0.0,165.4661,1.61,25,2pzv,362,ligand_decoy_272
64,1.4062616978,0.4193802424000001,-0.002567215,0.5,7.0,0.5,5.0,-5.13443e-05,-0.0,1.0,-0.476108359,0.0,0.0,5.147,5.233,6.4422,123.1338,15.7367,14.6779,0.0,170.3706,1.42,25,2pzv,12,ligand_decoy_319
65,0.927791501,-0.4541623382,-0.0476621802,0.5,7.0,0.5,5.0,-0.0058972596,-0.0,1.0,-1.7685324087999998,0.0,0.0,0.0,0.0,13.0237,79.1605,14.7502,46.1488,0.0,153.0832,0.99,25,2pzv,207,ligand_decoy_463
66,8.226332401699999,-65.3810541206,-1.1980532264,16.0,52.0,16.0,6.0,-0.2468267199,-8.025334137,16.0,-166.688375092,15.042,75.9128,161.8766,64.6899,154.2181,376.2046,242.3395,246.2198,0.0,1336.5033,8.81,120,2idz,481,ligand_decoy_0
67,3.4437795594,-31.624949462800004,-0.4981644033,16.0,52.0,16.0,6.0,-0.0995712675,-1.291822588,16.0,-32.2837775157,0.0,46.03100000000001,77.3906,37.6851,114.129,140.2965,163.8492,56.0393,0.0,635.4207,3.7,120,2idz,131,ligand_decoy_211
68,3.055866038,-17.0184056404,-0.12564683699999998,16.0,52.0,16.0,6.0,-0.0193127917,-1.4962975953,16.0,-21.1541743356,32.7556,0.0,70.0984,16.8566,64.2436,218.1368,128.6506,53.6224,0.0,584.364,3.37,120,2idz,255,ligand_decoy_269
69,2.7522231827,-29.8691357706,-0.3984537727,16.0,52.0,16.0,6.0,-0.08427800099999999,-1.1358019301,16.0,-28.712524729200002,10.2942,43.0727,87.208,34.3162,110.2951,141.8333,164.2003,63.5031,0.0,654.7229,2.91,120,2idz,180,ligand_decoy_81
70,2.5235650101,-18.9043991378,-0.1636709586,16.0,52.0,16.0,6.0,-0.0286281147,-1.0196684584,16.0,-28.6514470169,29.1135,41.6476,41.0025,20.9633,88.6259,174.4466,110.2419,44.4018,0.0,550.4431,2.67,120,2idz,252,ligand_decoy_238
71,2.3346033163,-23.356008626999998,-0.5922051562,16.0,52.0,16.0,6.0,-0.129460985,-1.9435431228,16.0,-27.4903763563,33.9828,85.8044,42.518,12.3859,72.6823,124.683,20.7129,40.7283,0.0,433.4976,2.37,120,2idz,220,ligand_decoy_42
72,2.2085897343000003,-18.0661814356,-0.2896258614,16.0,52.0,16.0,6.0,-0.0671436746,-1.6657484551,16.0,-28.411397744600002,34.0971,47.6598,77.2401,13.0757,64.9002,151.0978,25.1195,38.4373,0.0,451.6275,2.25,120,2idz,332,ligand_decoy_17
73,2.0828402087,-13.7832599766,-0.3035401667,16.0,52.0,16.0,6.0,-0.0516156913,-0.2383769151,16.0,-13.520289141800001,8.4539,21.9705,9.4798,53.5703,39.6749,150.0839,40.3241,20.9416,0.0,344.499,2.22,120,2idz,55,ligand_decoy_14
74,1.9432130523,-17.6817006474,-0.5113965629,16.0,52.0,16.0,6.0,-0.1040969008,-2.6024445247,16.0,-24.3622908929,46.3562,52.1004,34.3498,31.3448,50.1179,110.3819,26.1508,15.8615,0.0,366.6633,2.01,120,2idz,7,ligand_decoy_37
75,1.7304789476,-17.6026450952,-0.3709772373,16.0,52.0,16.0,6.0,-0.0720140482,-1.7046821043,16.0,-17.8787527359,52.4925,60.01300000000001,36.0166,13.6912,24.9855,78.6912,1.9033,60.6156,0.0,328.4089,1.8,120,2idz,33,ligand_decoy_340
76,0.3812607671,-41.6242298831,-0.8975423734,16.0,52.0,16.0,6.0,-0.1651526084,-0.9331019686,16.0,-70.9203559308,14.8165,79.7569,127.4535,55.7726,175.7175,308.5738,179.7673,192.2042,0.0,1134.0623,0.61,120,2idz,498,ligand_decoy_34
77,5.9684668092,-39.298274413899996,-0.6970135423,5.5,23.0,5.5,0.0,-0.1601355368,-10.5517964326,6.0,-82.9054358328,47.9589,93.4934,108.6665,5.626,80.7251,87.8127,87.95100000000002,77.1382,0.0,589.3718,5.13,33,2v8q,478,ligand_decoy_1
78,4.308887005,-29.784520364200002,-0.6953998643000001,5.5,23.0,5.5,0.0,-0.135915697,-5.693774804199999,6.0,-53.064554097,57.842,91.5004,66.6843,0.7998,46.395,82.7601,51.0667,75.5915,0.0,472.6398,4.34,33,2v8q,93,ligand_decoy_225
79,4.0399382267,-31.3469054085,-0.7084999956999999,5.5,23.0,5.5,0.0,-0.1290062212,-5.7480970736,6.0,-56.4008406969,48.2478,88.62299999999998,56.6183,0.7959999999999999,49.3738,86.1791,48.2814,90.3384,0.0,468.4578,4.06,33,2v8q,202,ligand_decoy_152
80,3.8942597778,-29.477840860300002,-0.5597115492,5.5,23.0,5.5,0.0,-0.103788835,-4.4659492187,6.0,-47.5722910005,53.0915,88.3068,39.2748,0.7959999999999999,57.4478,100.7753,32.3939,76.9135,0.0,448.9996,3.9,33,2v8q,430,ligand_decoy_489
81,3.7619528516,-30.5186998448,-0.3333932097,5.5,23.0,5.5,0.0,-0.0856936367,-5.515896144299999,6.0,-62.4811940707,46.7068,83.9055,59.724,0.8002,69.9962,85.0287,41.3383,77.336,0.0,464.8357,3.78,33,2v8q,181,ligand_decoy_109
82,3.6304967738,-27.568258324499997,-0.4303605877,5.5,23.0,5.5,0.0,-0.0900872418,-5.3569341915,6.0,-45.26860428770001,54.6339,98.4725,28.9317,0.7959999999999999,52.4894,84.0349,47.0986,49.7295,0.0,416.1865,3.65,33,2v8q,95,ligand_decoy_406
83,3.4831826422,-32.3302221025,-0.6242219947,5.5,23.0,5.5,0.0,-0.1194048371,-6.293036134199999,6.0,-75.5507242679,48.1692,91.9572,71.7206,0.7959999999999999,74.2609,87.7202,49.4432,70.3619,0.0,494.4292,3.62,33,2v8q,146,ligand_decoy_44
84,3.3374381792000003,-29.617519361,-0.3659014865,5.5,23.0,5.5,0.0,-0.08464474599999999,-6.3393413579,6.0,-69.1733514535,66.3899,93.6009,45.7186,0.7959999999999999,45.3207,77.1906,55.1689,45.1327,0.0,429.3183,3.45,33,2v8q,58,ligand_decoy_93
85,3.1251808430000003,-22.047315769,-0.2596774647,5.5,23.0,5.5,0.0,-0.0558259239,-3.3398366915,6.0,-41.2273237743,36.5719,68.0933,63.3696,1.5277,59.1652,65.2376,44.3747,31.5066,0.0,369.8466,3.19,33,2v8q,153,ligand_decoy_265
86,2.9558400067000004,-31.2921797196,-0.4891204716,5.5,23.0,5.5,0.0,-0.1007375166,-4.7062845521,6.0,-64.1509180416,34.9749,100.6725,43.5787,10.2186,63.7841,123.9611,38.4423,68.3505,0.0,483.9827,2.97,33,2v8q,41,ligand_decoy_64
87,1.4699579694,-46.710469590100004,-0.6282928642,5.5,23.0,5.5,0.0,-0.124839998,-6.8147675712,6.0,-147.72877349700002,65.8664,96.1159,111.0099,28.0822,74.9465,104.2924,85.376,103.1161,0.0,668.8054,1.5,33,2v8q,403,ligand_decoy_359
88,9.2334581811,-8.0807419716,-0.049708617300000014,4.0,26.0,4.0,17.0,-0.0195768481,-3.6595063033,4.0,-46.235681513100005,8.2305,14.9585,22.437,25.0009,81.7251,219.7547,459.6225,82.9183,0.0,914.6475,8.39,10,3e92,481,ligand_decoy_0
89,3.8667759075,-13.190424019000002,-0.1034807692,4.0,26.0,4.0,17.0,-0.0191000796,-0.4752208361,4.0,-17.0048287405,28.4291,36.4855,11.503,34.8959,70.8958,145.928,170.7687,42.5009,0.0,541.4069,3.89,10,3e92,86,ligand_decoy_69
90,3.684540317,-14.6440031567,-0.0425497549,4.0,26.0,4.0,17.0,-0.005721222,-0.0393444036,4.0,-17.3435470876,14.970999999999998,63.2982,7.3633,17.0442,74.6718,138.7311,172.0963,39.9799,0.0,528.1558,3.72,10,3e92,448,ligand_decoy_53
91,3.5652455034,-12.621111085699999,-0.1042069243,4.0,26.0,4.0,17.0,-0.0185793017,-0.2653106679,4.0,-21.0400652963,30.776,34.9911,13.1141,22.0642,88.3046,86.3097,206.3875,84.3782,0.0,566.3254,3.62,10,3e92,458,ligand_decoy_193
92,3.4067163097,-13.7028768075,-0.0929698575,4.0,26.0,4.0,17.0,-0.0130487871,-0.2758802588,4.0,-21.7338734873,42.8698,40.0862,4.3152,12.5247,76.3002,101.0536,163.5692,63.5296,0.0,504.2485,3.41,10,3e92,492,ligand_decoy_357
93,3.2837687158999995,-11.938173216500001,-0.0723001093,4.0,26.0,4.0,17.0,-0.0170976519,-0.8755523432,4.0,-13.7041677499,65.1609,25.4736,0.94,13.1549,35.9672,64.2469,149.197,40.3796,0.0,394.5201,3.3,10,3e92,148,ligand_decoy_415
94,3.1725863017,-13.6504469423,0.0178164721,4.0,26.0,4.0,17.0,0.0025232056,-0.0,4.0,-19.0975417246,31.0804,23.5669,25.8071,26.2975,62.8686,75.1474,180.2693,54.6243,0.0,479.6615,3.21,10,3e92,401,ligand_decoy_472
95,3.0324236976,-11.0558434257,-0.105109117,4.0,26.0,4.0,17.0,-0.022591492,-2.0713390855,4.0,-32.3693464591,20.4742,22.0993,24.0601,21.9219,62.3463,64.6745,149.1608,57.1501,0.0,421.8872,3.06,10,3e92,65,ligand_decoy_318
96,2.7928878683,-13.2371106575,-0.0768550822,4.0,26.0,4.0,17.0,-0.0106796144,-0.0720653925,4.0,-12.6417148198,32.8099,34.176,0.3905,8.9909,54.2216,109.5918,103.8961,46.843,0.0,390.9198,2.8,10,3e92,259,ligand_decoy_394
97,2.5046116285,-11.349276100199999,-0.0077823289,4.0,26.0,4.0,17.0,-0.0045769776000000005,-0.0,4.0,-26.297200838400002,19.3517,33.6875,14.5247,5.6535,61.5846,98.2908,131.1386,31.445,0.0,395.6764,2.52,10,3e92,275,ligand_decoy_23
